"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"lors";22;-0,0371;0,2579;-0,1484;-0,5799;-0,0122;-0,0084;1,0419;0,5222;0,2754;-1,8563;0,6562;-0,0078;-0,1407;-0,0068;-0,2499;0,3467;0,9087;-0,0828;-0,0471;-0,1534;-0,7778;0,9724;1,476;-0,0083
"réalisateur";10;-0,0169;0,5145;-0,216;1,0086;-0,0055;-0,0038;0,4029;0,2227;-0,1492;-1,2647;0,4731;-0,0036;-0,064;-0,0031;-0,1136;-0,3079;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;1,3479;-0,0067;-0,0038
"peur";12;1,3418;-0,1903;0,9488;1,3943;-0,0067;-0,0046;-0,2623;-0,144;0,4713;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;-0,0452;-0,0257;-0,0837;0,2052;0,5761;-0,0081;-0,0045
"espèce";10;1,4193;-0,1586;-0,216;0,4925;-0,0055;-0,0038;-0,2186;-0,3966;-0,1492;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;0,638;0,2943;-0,1222;-0,0377;-0,0214;1,98;0,2542;0,6959;-0,0067;-0,0038
"toute";24;-0,0405;-0,3806;0,487;0,2746;-0,0133;-0,0092;0,4802;0,456;1,3382;-0,9604;-0,4275;-0,0085;0,5262;-0,0074;-0,2727;-0,2975;0,309;-0,0904;-0,0514;-0,1673;0,5402;-0,1708;-0,0161;-0,009
"empêcher";11;-0,0185;-0,1744;-0,2376;0,4368;-0,0061;-0,0042;0,3715;-0,4363;0,5021;-1,3912;1,1563;-0,0039;-0,0703;-0,0034;-0,125;0,2664;-0,1344;-0,0414;-0,0235;-0,0767;0,228;1,2368;-0,0074;-0,0041
"marcher";12;-0,0202;0,4501;-0,2592;-0,636;-0,0067;-0,0046;0,9404;1,0943;0,4713;-1,5177;1,9645;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;1,0052;-0,0257;-0,0837;0,2052;-0,4552;-0,0081;-0,0045
"sol";10;-0,0169;-0,1586;-0,216;-0,53;-0,0055;-0,0038;-0,2186;0,6674;-0,1492;-1,2647;1,232;-0,0036;-0,064;-0,0031;-0,1136;-0,3079;-0,1222;-0,0377;-0,0214;-0,0697;1,4231;1,3479;-0,0067;-0,0038
"différent";15;-0,0253;-0,2378;0,2792;-0,795;1,722;-0,0057;-0,3279;1,4414;0,395;-1,8971;1,6879;-0,0053;-0,0959;-0,0046;-0,1704;-0,1392;-0,1833;-0,0565;-0,0321;1,6348;-0,1738;-0,1944;-0,0101;-0,0056
"ceux";10;-0,0169;-0,1586;-0,216;-0,1686;-0,0055;-0,0038;0,4029;0,6674;-0,1492;-0,2859;1,232;-0,0036;0,8635;-0,0031;-0,1136;-0,3079;-0,1222;-0,0377;-0,0214;-0,0697;0,2542;-0,3793;-0,0067;-0,0038
"situation";15;-0,0253;0,375;-0,324;0,6129;1,722;-0,0057;-0,3279;0,4187;1,0481;-1,1138;0,9209;-0,0053;1,7043;-0,0046;-0,1704;-0,4619;-0,1833;-0,0565;-0,0321;-0,1046;-0,5303;-0,1944;-0,0101;-0,0056
"projet";11;1,3787;0,4805;-0,2376;-0,1978;-0,0061;-0,0042;1,8392;-0,4363;-0,1641;-1,3912;-0,1959;-0,0039;0,8252;-0,0034;-0,125;1,4575;-0,1344;-0,0414;-0,0235;-0,0767;0,228;-0,4173;-0,0074;-0,0041
"retourner";10;-0,0169;-0,1586;-0,216;1,6855;-0,0055;-0,0038;-0,2186;0,2227;0,5365;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;-0,1136;0,2943;-0,1222;-0,0377;-0,0214;-0,0697;0,2542;0,6959;-0,0067;-0,0038
"tester";10;-0,0169;-0,1586;-0,216;1,6855;-0,0055;-0,0038;-0,2186;1,301;-0,1492;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;0,638;0,2943;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,2347;-0,0067;-0,0038
"science";13;-0,0219;0,4226;0,3223;1,9353;-0,0072;-0,005;0,3186;-0,1647;-0,194;-1,6442;0,3838;-0,0046;-0,0831;-0,004;0,5402;0,2203;-0,1588;-0,0489;-0,0278;0,725;-0,4596;-0,4932;-0,0087;-0,0049
"jusqu_à";12;-0,0202;-0,1903;-0,2592;0,3887;-0,0067;-0,0046;1,7302;-0,476;-0,179;-0,4173;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;-0,0452;-0,0257;-0,0837;0,6193;1,1389;-0,0081;-0,0045
"menace";13;1,3079;1,1128;-0,2808;1,2748;-0,0072;-0,005;-0,2841;-0,5156;-0,194;-0,9121;-0,2316;-0,0046;-0,0831;-0,004;-0,1477;-0,4003;-0,1588;-0,0489;-0,0278;-0,0906;0,5682;1,0518;-0,0087;-0,0049
"apparence";11;-0,0185;-0,1744;-0,2376;0,4368;-0,0061;-0,0042;0,3715;-0,4363;-0,1641;0,2573;-0,1959;-0,0039;-0,0703;-0,0034;1,5033;-0,3387;-0,1344;-0,0414;-0,0235;-0,0767;-0,3889;1,2368;-0,0074;-0,0041
"devant";10;-0,0169;-0,1586;-0,216;1,0086;-0,0055;-0,0038;0,4029;0,2227;-0,1492;-1,2647;1,232;-0,0036;-0,064;-0,0031;0,638;-0,3079;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,6959;-0,0067;-0,0038
"oeil";13;-0,0219;0,4226;-0,2808;-0,2596;-0,0072;-0,005;-0,2841;-0,1647;0,4434;-1,6442;1,0274;-0,0046;-0,0831;-0,004;1,3663;-0,4003;-0,1588;-0,0489;-0,0278;-0,0906;-0,1368;1,7236;-0,0087;-0,0049
"façon";10;-0,0169;0,5145;-0,216;1,0086;1,8967;-0,0038;-0,2186;-0,3966;-0,1492;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;-0,1136;1,5735;-0,1222;-0,0377;-0,0214;-0,0697;0,742;-0,3793;-0,0067;-0,0038
"envoyer";16;-0,027;-0,2537;-0,3456;0,5584;-0,0089;-0,0061;0,2572;0,3839;-0,2387;-0,7198;1,6106;-0,0057;-0,1023;-0,0049;-0,1818;0,5225;0,4408;-0,0602;-0,0342;0,6449;-0,5657;-0,2159;-0,0107;-0,006
"montrer";15;-0,0253;-0,2378;0,2792;-0,795;-0,0083;-0,0057;0,2758;1,4414;1,8892;-1,8971;0,3377;-0,0053;-0,0959;-0,0046;0,4887;-0,1392;-0,1833;0,9138;-0,0321;-0,1046;-0,1738;-0,1944;-0,0101;-0,0056
"nommer";10;-0,0169;-0,1586;0,4069;0,4925;-0,0055;-0,0038;-0,2186;1,301;-0,1492;-1,2647;0,4731;-0,0036;-0,064;-0,0031;0,638;0,2943;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,2347;-0,0067;-0,0038
"seul";28;-0,0472;-0,1341;-0,6048;0,6712;-0,0155;-0,0107;-0,2237;-0,2572;-0,4178;-0,8903;0,5072;-0,01;-0,1791;-0,0086;0,7893;-0,3768;1,3801;-0,1054;-0,0599;0,4412;0,4245;0,3779;-0,0188;-0,0105
"appeler";15;-0,0253;0,375;-0,324;0,2778;-0,0083;-0,0057;-0,3279;0,4187;-0,2238;-1,8971;0,3377;-0,0053;0,7029;-0,0046;-0,1704;-0,1392;-0,1833;-0,0565;-0,0321;-0,1046;0,9701;1,501;-0,0101;-0,0056
"responsable";12;-0,0202;-0,1903;0,3473;-0,2281;-0,0067;-0,0046;-0,2623;1,7907;-0,179;-1,5177;1,0886;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;-0,0452;-0,0257;-0,0837;-0,4242;1,8541;-0,0081;-0,0045
"loin";12;-0,0202;-0,1903;-0,2592;0,3887;-0,0067;-0,0046;-0,2623;1,7907;-0,179;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;1,4315;0,2419;-0,1466;-0,0452;-0,0257;-0,0837;-0,4242;1,1389;-0,0081;-0,0045
"rentrer";12;-0,0202;-0,1903;-0,2592;0,3887;-0,0067;-0,0046;0,3436;1,0943;-0,179;-1,5177;0,4104;-0,0043;0,7906;-0,0037;0,5696;0,2419;-0,1466;-0,0452;-0,0257;-0,0837;0,2052;-0,1339;-0,0081;-0,0045
"car";19;-0,032;-0,3013;-0,4104;1,7819;-0,0105;-0,0073;0,2106;0,2983;0,8741;-0,9722;-0,3384;-0,0068;0,6125;-0,0059;1,0692;-0,585;-0,2321;-0,0715;-0,0407;-0,1325;-0,6717;0,6801;-0,0127;-0,0072
"cours";22;-0,0371;0,2579;-0,4752;1,4724;-0,0122;-0,0084;-0,4809;1,4217;-0,3283;-1,8563;0,6562;-0,0078;-0,1407;-0,0068;-0,2499;-0,6774;-0,2688;-0,0828;-0,0471;-0,1534;0,6113;0,556;-0,0148;1,7238
"nom";12;-0,0202;0,4501;-0,2592;-0,636;-0,0067;-0,0046;0,3436;-0,144;-0,179;-1,5177;1,0886;-0,0043;-0,0767;-0,0037;-0,1363;0,2419;-0,1466;-0,0452;-0,0257;-0,0837;1,9556;0,5761;-0,0081;-0,0045
"explication";12;-0,0202;-0,1903;-0,2592;0,3887;-0,0067;-0,0046;-0,2623;-0,144;-0,179;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;0,707;-0,1466;-0,0452;1,241;-0,0837;0,6193;1,8541;-0,0081;-0,0045
"fruit";11;-0,0185;-0,1744;-0,2376;-0,583;-0,0061;-0,0042;1,0057;1,1911;-0,1641;-1,3912;0,44;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;-0,1344;-0,0414;-0,0235;1,8974;-0,3889;1,2368;-0,0074;-0,0041
"héros";13;-0,0219;0,4226;-0,2808;0,3468;-0,0072;-0,005;-0,2841;1,6615;0,4434;-0,4885;1,0274;-0,0046;-0,0831;-0,004;0,5402;-0,4003;-0,1588;-0,0489;-0,0278;-0,0906;-0,4596;-0,4932;-0,0087;-0,0049
"vendre";14;-0,0236;-0,222;-0,3024;-0,742;-0,0078;-0,0054;-0,306;-0,1863;1,1008;0,9343;-0,2494;-0,005;0,7298;-0,0043;-0,159;0,2011;-0,171;-0,0527;-0,03;-0,0976;-0,4949;0,9739;-0,0094;-0,0053
"vers";15;-0,0253;0,375;-0,324;0,6129;-0,0083;-0,0057;-0,3279;-0,2085;-0,2238;-1,8971;1,6879;-0,0053;-0,0959;-0,0046;-0,1704;0,5619;-0,1833;-0,0565;-0,0321;0,6696;-0,1738;0,9035;-0,0101;-0,0056
"réalité";35;-0,059;-0,5551;-0,7561;1,0009;-0,0194;-0,0134;1,0417;0,7299;0,945;-1,9035;-0,6235;-0,0125;1,8419;-0,0108;0,222;-1,0779;-0,4277;0,5821;-0,0749;-0,2441;0,5357;0,4742;-0,0235;-0,0132
"suivant";12;-0,0202;-0,1903;-0,2592;1,3943;-0,0067;-0,0046;-0,2623;1,7907;-0,179;-1,5177;0,4104;-0,0043;-0,0767;-0,0037;-0,1363;0,2419;-0,1466;1,0052;-0,0257;-0,0837;-0,4242;-0,1339;-0,0081;-0,0045
"véritable";18;1,1707;0,3172;-0,3888;0,8414;-0,01;-0,0069;-0,3935;-0,714;0,3361;-1,4262;-0,3206;-0,0064;-0,1151;-0,0055;0,4254;-0,5542;-0,2199;0,8402;-0,0385;-0,1255;1,3272;1,237;-0,0121;-0,0068
"docteur";11;-0,0185;-0,1744;-0,2376;0,4368;-0,0061;-0,0042;-0,2404;1,9361;0,5021;-0,7173;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;-0,1344;-0,0414;-0,0235;-0,0767;-0,3889;1,2368;-0,0074;-0,0041
"jouer";14;-0,0236;0,3977;-0,3024;0,3101;-0,0078;-0,0054;-0,306;0,4575;-0,2089;-1,7706;0,3597;-0,005;-0,0895;-0,0043;1,3067;0,2011;0,4874;-0,0527;-0,03;-0,0976;-0,4949;1,6067;-0,0094;-0,0053
"cela";13;-0,0219;1,1128;-0,2808;-0,689;-0,0072;-0,005;0,8816;1,0084;-0,194;-1,6442;0,3838;-0,0046;-0,0831;-0,004;0,5402;-0,4003;-0,1588;-0,0489;-0,0278;0,725;0,5682;-0,1534;-0,0087;-0,0049
"cause";11;-0,0185;0,4805;-0,2376;-0,1978;-0,0061;-0,0042;1,0057;0,198;0,5021;-0,3496;-0,1959;-0,0039;-0,0703;-0,0034;0,602;0,2664;-0,1344;-0,0414;-0,0235;0,7908;-0,3889;-0,4173;-0,0074;-0,0041
"maintenant";13;-0,0219;-0,2061;-0,2808;1,2748;-0,0072;-0,005;0,3186;0,5008;-0,194;-1,6442;-0,2316;-0,0046;-0,0831;-0,004;-0,1477;-0,4003;-0,1588;-0,0489;-0,0278;-0,0906;0,5682;1,7236;-0,0087;-0,0049
"paranormal";10;-0,0169;-0,1586;-0,216;-0,53;-0,0055;-0,0038;1,0789;1,301;0,5365;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;0,638;0,2943;-0,1222;-0,0377;-0,0214;-0,0697;0,742;-0,3793;-0,0067;-0,0038
"carrière";10;-0,0169;-0,1586;-0,216;0,4925;-0,0055;-0,0038;1,9616;1,301;1,3682;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;-0,1136;-0,3079;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;-0,3793;-0,0067;-0,0038
"région";10;-0,0169;0,5145;-0,216;-0,1686;-0,0055;-0,0038;0,4029;1,301;-0,1492;-1,2647;-0,1781;-0,0036;0,8635;-0,0031;-0,1136;0,835;-0,1222;-0,0377;-0,0214;-0,0697;0,2542;-0,3793;-0,0067;-0,0038
"arrêter";12;-0,0202;-0,1903;-0,2592;0,3887;-0,0067;-0,0046;1,7302;-0,144;0,4713;-1,5177;1,0886;-0,0043;0,7906;-0,0037;0,5696;-0,3695;-0,1466;-0,0452;-0,0257;-0,0837;-0,4242;-0,1339;-0,0081;-0,0045
"force";19;-0,032;0,3008;0,6296;1,7819;-0,0105;-0,0073;-0,4153;0,2983;-0,2835;-1,5325;0,2666;-0,0068;-0,1215;-0,0059;0,4071;-0,2055;-0,2321;-0,0715;-0,0407;1,4411;-0,6717;-0,2839;1,5387;-0,0072
"arme";10;-0,0169;-0,1586;-0,216;1,0086;-0,0055;-0,0038;0,4029;-0,3966;-0,1492;-0,2859;-0,1781;-0,0036;-0,064;-0,0031;-0,1136;-0,3079;-0,1222;-0,0377;-0,0214;1,98;0,2542;0,2347;-0,0067;-0,0038
"surprise";10;-0,0169;-0,1586;0,4069;-0,1686;-0,0055;-0,0038;-0,2186;0,2227;0,5365;-0,2859;-0,1781;-0,0036;-0,064;-0,0031;0,638;0,2943;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,6959;-0,0067;-0,0038
"don";10;-0,0169;-0,1586;0,4069;-0,1686;-0,0055;-0,0038;0,4029;-0,3966;-0,1492;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;0,638;-0,3079;1,5252;-0,0377;-0,0214;1,98;-0,3535;0,6959;-0,0067;-0,0038
"sorte";13;-0,0219;-0,2061;-0,2808;0,7422;1,7836;-0,005;0,3186;0,5008;-0,194;-0,9121;0,3838;-0,0046;-0,0831;-0,004;-0,1477;-0,4003;-0,1588;-0,0489;-0,0278;-0,0906;-0,4596;1,7236;-0,0087;-0,0049
"musique";14;-0,0236;1,056;-0,3024;0,6738;-0,0078;-0,0054;1,5432;-0,5553;0,4181;-1,7706;0,3597;-0,005;1,7623;-0,0043;-0,159;0,2011;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,1735;-0,0094;-0,0053
"tour";15;-0,0253;1,0039;-0,324;-0,3256;-0,0083;-0,0057;-0,3279;-0,2085;0,395;-1,1138;-0,2672;-0,0053;-0,0959;-0,0046;1,2519;-0,1392;-0,1833;-0,0565;-0,0321;-0,1046;0,4817;1,501;-0,0101;-0,0056
"mars";12;-0,0202;-0,1903;0,3473;1,3943;-0,0067;-0,0046;-0,2623;-0,476;-0,179;-0,8138;0,4104;-0,0043;-0,0767;-0,0037;-0,1363;0,707;-0,1466;-0,0452;-0,0257;0,7564;-0,4242;0,5761;-0,0081;-0,0045
"4";13;-0,0219;-0,2061;-0,2808;-0,2596;-0,0072;-0,005;1,6321;0,5008;-0,194;0,3721;-0,2316;-0,0046;-0,0831;-0,004;-0,1477;0,6534;-0,1588;-0,0489;-0,0278;-0,0906;-0,4596;-0,1534;-0,0087;-0,0049
"pourquoi";15;-0,0253;-0,2378;0,2792;-0,3256;-0,0083;-0,0057;-0,3279;1,4414;-0,2238;-1,1138;-0,2672;-0,0053;-0,0959;-0,0046;-0,1704;-0,1392;-0,1833;-0,0565;1,1473;-0,1046;1,5969;0,4427;-0,0101;-0,0056
"part";17;-0,0287;0,335;0,2436;0,2239;-0,0094;-0,0065;-0,3716;-0,255;0,9548;-1,3209;0,2993;-0,0061;-0,1087;-0,0052;0,4449;-0,1714;-0,2077;-0,064;1,095;-0,1185;-0,601;1,9686;-0,0114;-0,0064
"relation";10;-0,0169;0,5145;-0,216;-0,1686;-0,0055;-0,0038;-0,2186;0,6674;0,5365;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;1,5831;0,2943;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,6959;-0,0067;-0,0038
"puissant";12;-0,0202;-0,1903;-0,2592;0,3887;-0,0067;-0,0046;-0,2623;-0,476;-0,179;-0,4173;1,0886;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;-0,0452;-0,0257;1,8228;1,9556;-0,4552;-0,0081;-0,0045
"mener";17;-0,0287;-0,2696;-0,3672;0,5095;-0,0094;-0,0065;0,2403;1,2603;0,3542;-1,3209;-0,3028;-0,0061;-0,1087;-0,0052;-0,1931;-0,5235;-0,2077;-0,064;-0,0364;-0,1185;0,845;1,3174;-0,0114;-0,0064
"ça";15;-0,0253;-0,2378;-0,324;0,6129;-0,0083;-0,0057;0,2758;1,4414;1,0481;-1,8971;0,9209;-0,0053;1,7043;-0,0046;0,4887;-0,4619;-0,1833;-0,0565;-0,0321;-0,1046;-0,5303;-0,569;-0,0101;-0,0056
"peu";23;1,0684;-0,3647;-0,1597;1,3841;-0,0128;-0,0088;1,6148;0,8676;0,2626;-1,9658;0,2142;-0,0082;-0,1471;-0,0071;-0,2613;0,3249;-0,281;-0,0866;-0,0492;-0,1604;-0,8132;0,2334;-0,0154;-0,0087
"conseil";13;1,3079;-0,2061;-0,2808;-0,2596;-0,0072;-0,005;0,3186;1,0084;-0,194;-0,9121;1,8636;-0,0046;-0,0831;-0,004;0,5402;0,6534;-0,1588;-0,0489;-0,0278;-0,0906;-0,4596;-0,4932;-0,0087;-0,0049
"travailler";14;-0,0236;1,056;-0,3024;0,3101;-0,0078;-0,0054;0,8284;0,9316;-0,2089;-1,7706;-0,2494;-0,005;-0,0895;-0,0043;-0,159;1,9005;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,1735;-0,0094;-0,0053
"armée";12;-0,0202;1,1752;-0,2592;0,8195;-0,0067;-0,0046;-0,2623;-0,476;-0,179;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;0,5696;0,2419;-0,1466;-0,0452;-0,0257;-0,0837;0,6193;0,5761;1,7359;-0,0045
"composer";11;-0,0185;0,4805;-0,2376;0,4368;-0,0061;-0,0042;-0,2404;0,6045;-0,1641;1,4433;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;-0,1344;-0,0414;-0,0235;-0,0767;-0,3889;-0,4173;-0,0074;-0,0041
"train";13;-0,0219;-0,2061;-0,2808;1,2748;-0,0072;-0,005;0,8816;-0,5156;0,4434;-0,9121;1,8636;-0,0046;0,7589;-0,004;-0,1477;-0,4003;-0,1588;-0,0489;-0,0278;-0,0906;-0,4596;-0,1534;-0,0087;-0,0049
"eux";19;-0,032;-0,3013;-0,4104;-0,2044;-0,0105;-0,0073;0,2106;0,6433;0,8741;-0,9722;0,2666;-0,0068;-0,1215;-0,0059;0,4071;-0,585;-0,2321;-0,0715;-0,0407;0,5802;0,7401;0,6801;-0,0127;-0,0072
"tuer";17;-0,0287;-0,2696;-0,3672;0,5095;-0,0094;-0,0065;0,2403;-0,255;-0,2537;-0,8019;-0,3028;-0,0061;0,6547;-0,0052;0,4449;-0,5235;1,1;0,8632;-0,0364;-0,1185;-0,601;1,3174;-0,0114;1,8348
"expliquer";19;-0,032;-0,3013;-0,4104;-0,2044;-0,0105;-0,0073;-0,4153;0,2983;0,3193;-0,594;0,2666;-0,0068;-0,1215;-0,0059;1,0692;1,4308;-0,2321;-0,0715;-0,0407;-0,1325;-0,2548;0,3189;-0,0127;1,7869
"parisien";10;-0,0169;-0,1586;0,4069;0,4925;-0,0055;-0,0038;0,4029;1,301;-0,1492;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;-0,1136;0,835;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,2347;-0,0067;-0,0038
"laquelle";12;-0,0202;-0,1903;-0,2592;0,8195;-0,0067;-0,0046;0,3436;-0,144;-0,179;-1,5177;0,4104;-0,0043;-0,0767;-0,0037;-0,1363;0,2419;-0,1466;-0,0452;-0,0257;-0,0837;0,2052;1,8541;-0,0081;-0,0045
"photo";12;-0,0202;0,4501;-0,2592;-0,636;-0,0067;-0,0046;1,7302;-0,476;-0,179;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;0,2419;-0,1466;1,0052;-0,0257;-0,0837;0,6193;1,8541;-0,0081;-0,0045
"transformer";15;-0,0253;-0,2378;-0,324;1,6521;-0,0083;-0,0057;0,2758;-0,2085;1,8892;-1,8971;-0,2672;-0,0053;0,7029;-0,0046;0,4887;-0,1392;-0,1833;0,9138;-0,0321;-0,1046;-0,5303;-0,1944;-0,0101;-0,0056
"enfin";15;-0,0253;-0,2378;-0,324;1,6521;-0,0083;-0,0057;-0,3279;0,4187;0,395;-0,345;-0,2672;-0,0053;0,7029;-0,0046;-0,1704;-0,1392;0,4631;-0,0565;-0,0321;-0,1046;-0,5303;-0,1944;-0,0101;-0,0056
"place";12;-0,0202;0,4501;-0,2592;0,8195;-0,0067;-0,0046;0,3436;-0,476;1,2211;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;0,2419;-0,1466;1,0052;-0,0257;-0,0837;0,2052;0,5761;-0,0081;-0,0045
"chaque";16;-0,027;0,956;-0,3456;-0,848;1,6942;-0,0061;0,2572;0,7998;0,3738;-1,2168;-0,285;-0,0057;-0,1023;-0,0049;-0,1818;1,0367;-0,1955;-0,0602;-0,0342;0,6449;-0,5657;0,8398;-0,0107;-0,006
"concernant";10;-0,0169;0,5145;0,4069;-0,1686;-0,0055;-0,0038;-0,2186;0,2227;-0,1492;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;-0,1136;0,835;-0,1222;-0,0377;-0,0214;-0,0697;1,4231;0,2347;-0,0067;-0,0038
"parfois";11;-0,0185;-0,1744;0,3754;0,4368;-0,0061;-0,0042;-0,2404;0,6045;-0,1641;-0,7173;1,1563;-0,0039;-0,0703;-0,0034;0,602;-0,3387;-0,1344;-0,0414;-0,0235;-0,0767;-0,3889;0,6321;-0,0074;-0,0041
"celui";13;-0,0219;-0,2061;-0,2808;-0,2596;-0,0072;-0,005;-0,2841;1,6615;0,4434;-1,6442;-0,2316;-0,0046;0,7589;-0,004;0,5402;-0,4003;-0,1588;0,9723;-0,0278;-0,0906;-0,4596;1,7236;-0,0087;-0,0049
"différents";15;-0,0253;0,375;0,2792;0,6129;-0,0083;-0,0057;0,2758;0,8624;1,0481;-1,8971;-0,2672;-0,0053;-0,0959;-0,0046;0,4887;-0,4619;-0,1833;-0,0565;-0,0321;1,6348;-0,5303;-0,1944;-0,0101;-0,0056
"tourner";10;-0,0169;-0,1586;-0,216;0,4925;-0,0055;-0,0038;0,4029;0,6674;-0,1492;-1,2647;0,4731;-0,0036;-0,064;-0,0031;-0,1136;1,5735;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,2347;-0,0067;-0,0038
"intelligence";17;-0,0287;-0,2696;-0,3672;0,2239;-0,0094;-0,0065;1,3191;-0,6743;0,3542;0,6148;-0,3028;-0,0061;-0,1087;-0,0052;-0,1931;-0,5235;-0,2077;-0,064;-0,0364;1,5315;0,845;-0,6449;-0,0114;-0,0064
"raconter";20;-0,0337;-0,3171;-0,432;1,1483;-0,0111;-0,0077;-0,4372;1,0411;0,8378;-1,6396;-0,3563;-0,0071;-0,1279;-0,0062;0,39;0,3959;-0,2444;-0,0753;-0,0428;0,5612;0,6938;-0,3076;-0,0134;-0,0075
"propos";13;-0,0219;1,1128;0,3223;-0,689;-0,0072;-0,005;0,8816;1,0084;-0,194;-1,6442;-0,2316;-0,0046;-0,0831;-0,004;-0,1477;0,6534;-0,1588;-0,0489;-0,0278;-0,0906;-0,4596;1,0518;-0,0087;-0,0049
"rien";17;1,1947;0,335;-0,3672;0,9114;-0,0094;-0,0065;0,2403;0,7428;0,3542;-1,3209;-0,3028;-0,0061;-0,1087;-0,0052;0,4449;-0,5235;-0,2077;-0,064;-0,0364;-0,1185;-0,601;1,3174;-0,0114;-0,0064
"au_dessus";11;-0,0185;-0,1744;-0,2376;0,4368;-0,0061;-0,0042;-0,2404;0,198;0,5021;-0,7173;1,1563;-0,0039;-0,0703;-0,0034;-0,125;0,7671;-0,1344;-0,0414;-0,0235;-0,0767;0,228;0,2094;-0,0074;-0,0041
"nuit";17;-0,0287;-0,2696;-0,3672;0,5095;-0,0094;-0,0065;0,2403;0,7428;-0,2537;-1,3209;0,2993;-0,0061;-0,1087;-0,0052;0,4449;0,4866;-0,2077;-0,064;-0,0364;0,6219;-0,2133;0,7818;-0,0114;-0,0064
"chemin";12;-0,0202;-0,1903;-0,2592;0,8195;-0,0067;-0,0046;-0,2623;0,5494;1,2211;0,4445;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;-0,0452;-0,0257;-0,0837;-0,4242;-0,1339;-0,0081;-0,0045
"soirée";10;-0,0169;-0,1586;-0,216;1,0086;-0,0055;-0,0038;1,0789;0,6674;-0,1492;-0,6232;-0,1781;-0,0036;-0,064;-0,0031;-0,1136;0,2943;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;0,2347;-0,0067;-0,0038
"marier";15;-0,0253;1,0039;-0,324;-0,795;-0,0083;-0,0057;0,7799;0,4187;-0,2238;-1,8971;0,9209;-0,0053;1,7043;-0,0046;-0,1704;0,5619;-0,1833;-0,0565;-0,0321;-0,1046;-0,5303;0,9035;-0,0101;-0,0056
