"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"devenir";0;0;0,32;0,82;0;0;1,93;1,8;0;0,12;0,78;0;3,23;0;0,61;0,23;0;3,65;0;0;0,4;1,88;0;0
"lors";0;0,44;0,32;0,14;0;0;0,96;0,54;0,47;0,06;0,78;0;0;0;0;0,46;1,14;0;0;0;0;0,75;10,2;0
"accidentellement";0;0;0;0,14;0;0;0;0;0,47;0;0;0;0;0;0;0;13,63;0;0;0;0;0;0;0
"maloney";0;0;0;1,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"évolution";0;0;0;0;12,35;0;0;0,18;2,8;0;0;0;0;0;0;0;0;0;6,41;0;0,4;0;0;0
"substance";0;0;0;0;0;0;0;0,18;0;0;0;0;0;0;0;0;0,57;0;0;0;1,81;0;0;0
"karim";0;0;4,22;0;0;0;0;0;0;0;0,39;0;0;0;0;0;0;0;0;0;0;0;0;0
"vigi";0;0;4,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rythmé";0;0,44;0;0;0;0;0;0;0;5,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"unir";0;0,88;0;0,41;0;0;0;0,36;0;0,06;0;0;5,39;0;0,61;0,46;0;0;0;0,99;3,22;0;0;0
"leurs";0;0,88;0,32;2,88;0;0;2,25;2,89;1,87;0,19;1,96;0;3,23;0;1,22;0,69;0;3,65;3,21;1,98;1,81;1,32;0;0
"sortir";0;2,2;0;0,55;0;0;0;0,36;1,4;0,12;0,78;0;0;0;0,61;0;0;0;0;0;0,2;1,32;0;0
"commentaire";0;1,32;1,3;0,69;0;0;0;0;0;0;0;0;0;0;0;2,07;0;0;0;0;0;0;0;0
"machine";0;0;0;0,14;0;0;0;0;0;0;0;0;2,16;0;1,83;0;0;0;0;0,99;0,2;0,38;0;0
"zorbb";0;0;0;0;0;0;0;0;5,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"réalisateur";0;0,44;0;0,41;0;0;0,32;0,18;0;0;0,39;0;0;0;0;0;0;0;0;0;0;0,56;0;0
"sentir";0;0;0,32;0,41;0;0;0;1,62;0;0;0,39;0;0;0;0;0;0;3,65;0;0;0;0,56;0;0
"peur";4,07;0;0,65;0,55;0;0;0;0,18;0,47;0;0;0;0;0;0;0;0;0;0;0;0,2;0,38;0;0
"député";0;0,44;8,44;0;0;0;0;0,18;0;0;0,39;0;0;0;0;0,69;0;0;0;0;0;0;0;0
"espèce";4,07;0;0;0,27;0;0;0;0;0;0;0;0;0;0;0,61;0,23;0;0;0;1,98;0,2;0,38;0;0
"toute";0;0;0,65;0,41;0;0;0,64;0,54;1,4;0,19;0;0;1,08;0;0;0,23;0,57;0;0;0;0,6;0,38;0;0
"affaire";0;1,76;2,92;0,27;0;0;0;0,36;0;0,06;0;0;0;0;1,22;0,46;0;0;0;0;0;0,56;0;0
"chronique";0;1,76;0;0;0;0;1,28;3,97;0;0;0,39;0;0;0;0;0;0;0;0;0;0;0,56;0;0
"vigier";0;0;4,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambre";0;0;0;0,41;0;0;0;0;0;0,06;0;0;0;0;0;11,05;0;0;0;0;0;0;0;0
"rick";0;0;0;0;0;0;0;0;0;0,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"guerre";0;0;0;0,82;0;0;0;0,18;0;0,06;0;0;0;0;0;0,69;0;0;0;0;0;0,38;30,61;0
"souvenir";8,13;0;0;0,27;0;0;0;0,18;0,47;0,12;0,39;0;0;0;0;0;0;0;0;0;0;1,32;0;0
"demander";4,07;0;0;0,41;0;0;0,64;0;0,93;0,12;0,39;0;2,16;0;0;0,23;0;0;0;0;0,2;1,13;0;0
"parler";0;0;0,97;0,14;0;0;1,6;1,99;0,47;0;0;0;0;0;0,61;0,46;0;1,82;0;0;0;0,56;0;0
"fry";0;0;0;0,14;0;0;0;0;0;0;0;0;0;0;0;0;29,53;0;0;0;0;0;0;0
"penser";0;0;0;0;0;0;0,96;0,72;0,47;0,06;1,18;38,46;1,08;0;1,83;0;0,57;0;0;1,98;0,81;0,94;0;0
"suivre";0;0,88;0,32;0,14;0;0;0,64;0,72;0,47;0;0,78;0;0;0;0,61;0,46;0;0;0;0;0,4;0,38;0;0
"superhéros";0;0;0;0,14;0;0;0;0;0;3,43;0;0;0;0;0,61;0;0;0;0;0;0;0;0;0
"évoquer";0;3,08;1,95;0,27;0;0;6,42;0;0;0;0,39;0;0;0;0;0,92;0;0;0;1,98;1,01;0;0;0
"emploi";0;4,39;0,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tête";0;0,88;0,32;0,69;0;0;0;0,18;0,47;6,48;0,78;0;1,08;0;0,61;0,46;0;0;0;0;0;0,56;0;0
"empêcher";0;0;0;0,27;0;0;0,32;0;0,47;0;0,78;0;0;0;0;0,23;0;0;0;0;0,2;0,56;0;0
"marcher";0;0,44;0;0;0;0;0,64;0,54;0,47;0;1,18;0;0;0;0;0;0;1,82;0;0;0,2;0;0;0
"possible";0;0;0;0;0;0;0;0,36;0,47;0;0;0;0;0;0;0,23;0;0;0;0,99;2,22;0,75;0;0
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,53;0;0;0;0;0;0;0;0
"théorie";0;0;0;0;12,35;0;0;0;0;0;0;0;0;0;0;0;0;0;19,23;2,97;1,21;0;0;0
"fou";0;0;0;0;0;0;0;0,54;0,47;0;0,78;0;0;0;0,61;0;0;0;0;0;0,2;2,07;0;0
"expérience";0;0,44;0;0;0;0;0,32;0,36;0;0,06;0;0;0;0;0;0;0,57;3,65;0;0,99;0,6;0;0;0
"technologie";0;0,44;0;0,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,82;1,98;1,61;0,38;0;0
"observation";0;0;0;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,01;0;0;0
"sol";0;0;0;0;0;0;0;0,36;0;0;0,78;0;0;0;0;0;0;0;0;0;0,6;0,56;0;0
"son";16,26;1,76;0,97;4,11;0;0;6,74;8,84;13,06;0,31;9,41;0;11,85;22,22;16,47;2,76;2,27;18,25;0;0,99;1,61;12,43;0;0
"ligue";0;0;0;2,06;0;0;0;0;0;0,19;0;0;2,16;0;1,83;0;0;0;0;0;0;0;0;0
"corps";0;0;0;0,14;0;0;0;0,9;0;0,19;0,78;0;0;0;1,22;0;0;0;6,41;0;0;1,88;0;0
"minute";0;0,88;0;0;0;0;0,32;0;0,47;1,62;0,39;0;0;0;1,22;0,23;0;0;0;0;0;0;0;0
"cette";0;2,2;0,65;3,29;0;0;1,6;3,43;0,93;0,06;2,74;0;0;0;0,61;1,15;0;3,65;6,41;1,98;0,81;2,64;0;18,18
"solère";0;0;4,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"égyptien";0;0;0;0;0;0;0;0,18;0;0;0;0;0;0;0;0;0;0;0;0,99;1,81;0;0;0
"sommaire";0;1,32;0,32;0,14;0;0;0,96;0,18;0;0;0,78;0;0;0;0;0,69;0;0;0;0;0;0,38;0;0
"nadia";0;7,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"daam";0;7,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"reportage";0;0,44;0;0,14;0;0;3,85;2,53;0;0;0,78;0;0;0;0;0,92;0;0;0;0;0;0;0;0
"explorer";0;0;0;0,14;0;0;0;0;0;0,06;0,39;0;0;0;0;0,46;0;0;0;0;1,81;0;0;0
"convaincre";0;0;0;0,27;0;0;0;0;0,47;0;0;0;0;0;2,44;0;0,57;0;0;0;0;1,13;0;0
"si";0;0,44;0;0,96;0;0;0,32;0,9;0,47;0,06;1,96;0;1,08;0;0,61;0,23;0;1,82;6,41;2,97;2,42;1,51;0;0
"sa";16,26;3,08;0;5,21;0;0;1,6;6,32;1,87;0,19;4,31;0;3,23;0;6,1;2,76;3,41;9,12;0;1,98;0,2;10,92;0;18,18
"se";16,26;2,2;0,65;9,46;12,35;0;3,53;5,05;8,86;2,56;5,1;0;10,78;0;7,93;2,99;26,12;3,65;0;3,96;5,04;7,53;10,2;18,18
"extraterrestre";8,13;0,44;0,32;10,56;12,35;0;0,64;1,99;14,93;12,78;1,18;38,46;16,16;0;12,2;1,84;18,17;14,6;32,05;41,54;21,56;3,58;20,41;0
"internet";0;0,88;0;0,41;0;0;1,28;0,36;0;0;0,78;0;1,08;0;1,22;0,69;0;1,82;0;0;0,2;1,13;0;0
"million";0;0;0;0;0;0;0,96;0,18;0,93;0;0,39;0;0;0;0;0,46;0;0;0;0,99;2,42;0;0;0
"city";0;0;0;0,14;0;0;0;0;0;10,16;0;0;0;0;0;0;0;0;0;0;0;0,38;0;0
"2";0;0,44;0,65;0;0;0;8,66;1,08;0;0;1,57;0;0;0;0;1,38;0;0;0;0;0;0;0;0
"plein";0;0;0;0,69;0;0;0;0,72;0,93;5,05;0,39;0;1,08;0;0;0,23;0;3,65;0;0;0;0,75;0;0
"tendance";0;0;0;0,41;0;0;0;0,72;0;0;0;0;1,08;0;0;0;1,7;0;0;0;0;0;0;0
"sophie";0;0;0;0,14;0;0;0;1,8;0;0;0;0;0;0;0;0,69;0;0;0;0;0;0;0;0
"aller";0;1,32;0,32;1,78;0;0;1,93;1,99;1,4;0,25;1,18;38,46;7,54;0;2,44;1,84;1,14;1,82;6,41;0;0;1,69;0;0
"perdre";4,07;0;0;0,41;0;0;0;0,72;0,93;0;0,39;0;1,08;0;1,83;0;0;0;0;0;0;0,75;0;0
"affirmer";0;0;0;0,14;0;0;0,32;0,36;0,47;0;0,39;0;0;0;0,61;0,23;0;1,82;12,82;3,96;0,81;0,38;0;0
"semaine";0;2,64;0,32;0;0;0;0,96;1,26;0,47;0;1,57;0;0;0;1,22;0,23;0;1,82;6,41;0;0;0;0;0
"comédien";0;0;0;0;0;0;0,64;0,72;0;0;0,39;0;0;0;0;1,38;0;0;0;0;0;1,32;0;0
"différent";0;0;0,32;0;12,35;0;0;0,72;0,47;0;1,18;0;0;0;0;0,23;0;0;0;1,98;0,2;0,19;0;0
"extra_terrestre";12,2;1,76;0;1,23;0;0;0;0,18;0,47;0,5;1,18;0;3,23;0;1,83;0;0;0;0;0;0;1,32;0;0
"inattendu";0;0;0;2,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"monde";0;1,76;0,65;2,19;0;0;1,28;1,62;1,87;6,61;4,31;0;7,54;0;2,44;0,69;0;5,47;0;6,92;6,65;2,26;0;0
"roger";0;0;0;0;0;0;0;0,18;0;4,93;0;0;0;0;0;0;1,7;0;0;0;0;3,2;0;0
"visiteur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,63;1,51;0;0
"naulleau";0;0;3,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,53;0;0;0;0;0;0;0;0
"désert";0;0;0;0,69;0;0;0;0,54;0,93;0;0,78;0;1,08;0;0,61;0;0;0;0;0;2,82;0;0;0
"humoriste";0;0;0;0,14;0;0;0,32;0,9;0;0;0;0;0;0;0;2,07;0;0;0;0;0;0,19;0;0
"s";4,07;2,2;1,62;4,8;12,35;0;3,85;4,87;6,53;1,06;5,1;0;4,31;0;9,15;2,3;0,57;7,3;0;2,97;1,61;7,91;10,2;36,36
"seulement";0;0;0;0;0;0;0,32;0;0,47;0;0,39;0;0;0;0;0;0;0;0;0;0;1,32;0;0
"ceux";0;0;0;0,14;0;0;0,32;0,36;0;0,12;0,78;0;1,08;0;0;0;0;0;0;0;0,2;0;0;0
"former";0;0;0;0;0;0;0,32;0,18;0;1,62;0;0;0;0;0;0,23;0;0;0;0;0;0,19;20,41;0
"situation";0;0,44;0;0,41;12,35;0;0;0,36;0,93;0,06;0,78;0;2,16;0;0;0;0;0;0;0;0;0,19;0;0
"perquisition";0;0;6,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"twiste";0;0;0;3,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"esprit";0;0,44;0;0,27;0;0;0;0,18;0;0;0;0;0;0;0;0;0;0;0;0,99;0,2;0,75;0;0
"succès";0;0;0;0,41;0;0;1,6;0;0,47;0;0,78;0;0;0;0;0,46;0;0;0;0;0,2;0;0;0
"tomber";8,13;0;0;0,69;0;0;0,32;0,72;1,87;0;1,18;38,46;0;0;0,61;0,23;0,57;3,65;0;0;0,2;0,38;0;0
"vouloir";0;0;0,65;0,55;0;0;2,89;0,54;0,93;0,12;0,39;0;2,16;0;1,83;0,92;1,14;3,65;0;0;0;1,69;0;0
"laisser";0;0;0;2,61;0;0;0,64;0,72;1,4;0;0,39;0;0;0;1,83;0,23;0,57;0;0;1,98;2,01;0,56;0;0
"époque";0;0;0;2,19;0;0;0;0,72;0,47;0;0,39;0;0;0;0;0;0;0;0;0;0,6;0,19;0;0
"intervenir";0;0;0;0,27;0;0;0;0;0;5,05;1,57;0;0;0;0,61;0;0;0;0;0;0;0,19;0;0
"télé";0;0;0;0;0;0;3,85;0;0,47;0;0;0;0;0;0,61;0,23;0;3,65;0;0;0;0,38;0;0
"origine";0;0,44;0;1,37;0;0;0;0;0,47;0,37;0;0;0;0;0,61;0,23;0,57;0;12,82;4,95;2,42;0,19;0;0
"italie";0;0;0;0,14;0;0;0;0;0;0;0;0;1,08;0;0;1,84;0;0;0;0;0,6;0;0;0
"plusieurs";0;0;0,32;0,27;0;0;0,96;0,54;0;0,06;0;0;1,08;0;0;0,23;0,57;3,65;6,41;1,98;0,6;0,56;0;0
"édition";0;6,15;0;1,1;0;0;0;0,54;0;0;0;0;0;0;0;3,45;0;0;0;0;0;0;0;0
"répondre";0;0;0;0,14;0;0;0;0,18;0;1,62;2,74;0;0;0;0,61;0,46;0;0;0;0;0;0;0;0
"présenter";0;1,32;0;2,19;0;0;1,28;2,53;0,47;0;1,18;0;0;0;1,22;1,61;0;0;0;0,99;0,6;1,32;0;0
"chaîne";0;0;0;0;0;0;1,6;0,18;0;0;0;0;0;0;0;1,38;0;0;0;0;0,4;0,19;0;0
"an";0;0,44;0;1,23;0;0;2,25;2,89;6,06;0;4,31;0;0;0;3,66;0,23;0,57;3,65;0;1,98;1,01;1,51;0;0
"au";0;8,79;1,95;6,31;0;71,43;4,17;9,2;3,73;0,25;7,06;0;5,39;0;9,76;3,91;3,41;3,65;6,41;4,95;3,02;6,97;0;54,55
"spatial";0;0,44;0;0,55;0;0;0;0;1,87;0;1,96;0;2,16;0;0;0;0;0;0;0;0,2;0,56;0;0
"écrivain";0;0;3,57;0,96;0;0;0;0,9;0;0;0,39;0;0;0;0;0,69;0;0;0;0;0;0;0;0
"terre";4,07;0;0;5,48;12,35;0;0;0,36;4,2;0,31;1,57;0;8,62;0;2,44;0,69;2,27;1,82;0;8,9;7,86;0,94;10,2;0
"tv";0;0,44;1,3;0,41;0;0;0;0,18;0,47;0;0;0;0;0;0;0,92;0;0;0;0;0;0;0;0
"criminalité";0;0;0;0;0;0;0;0;0;3,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"projet";4,07;0,44;0;0,14;0;0;0,96;0;0;0;0;0;1,08;0;0;0,69;0;0;0;0;0,2;0;0;0
"retourner";0;0;0;0,55;0;0;0;0,18;0,47;0;0;0;0;0;0;0,23;0;0;0;0;0,2;0,38;0;0
"sans";0;1,76;0,32;1,78;12,35;0;0,32;0,9;2,33;0;0,78;0;1,08;0;1,22;0;0;3,65;0;0;0,6;0,38;0;0
"animer";0;0;0;0,14;0;0;0;0,9;0;0;0,39;0;0;0;0;0;0;0;0;0;0;0,56;0;0
"christophe";0;0,88;13,96;0,27;0;0;0,64;0,72;0;0;0,39;0;0;0;0;0;0;0;0;0;0;0;0;0
"espace";0;1,32;0;0,55;0;0;0,64;0;6,06;0,06;3,53;38,46;6,47;0;1,83;1,38;0,57;0;0;0;0,4;0;0;0
"vie";0;5,27;0,65;4,11;0;0;2,25;4,15;2,8;0,12;0,39;0;1,08;0;1,22;1,38;0;1,82;6,41;4,95;2,82;1,32;0;0
"mort";0;0,44;0;0,14;0;0;0,64;0,36;0,47;0;0;0;0;0;0,61;0,46;0,57;0;9,62;0;0;0,38;0;0
"teen";0;0;0;0,14;0;0;0;0;0;6,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tester";0;0;0;0,55;0;0;0;0,54;0;0;0;0;0;0;0,61;0,23;0;0;0;0;0;0,19;0;0
"science";0;0,44;0,32;0,69;0;0;0,32;0,18;0;0;0,39;0;0;0;0,61;0,23;0;0;0;0,99;0;0;0;0
"information";0;1,32;0,32;0,96;0;0;0;0,18;0;0;0;0;0;0;0;0,69;0;0;0;0;0,4;0,56;0;0
"notre";0;0;0,32;2,47;0;0;0;1,99;0,47;0;1,57;0;0;0;0,61;0;0;0;3,21;0;3,02;0;0;0
"débat";0;3,08;6,17;0,41;0;0;0;0;0;0;0,39;0;0;0;0;0,92;0;0;0;0;0;0;0;0
"signe";0;0;0;0,14;0;0;0,64;0,18;0,47;0;0;0;0;0;0;0;0;0;0;0;0,2;0,94;0;0
"visuel";0;0,88;8,12;0;0;0;0;0,18;0;0;0;0;0;0;0;0,69;0;0;0;0;0;0;0;0
"boucherie";0;0;3,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"personne";0;0,44;0,65;1,23;0;0;1,28;1,62;0,47;0;0;0;1,08;0;0,61;0,46;0;0;0;0,99;0,81;0,38;0;0
"recette";0;0;0;0;0;0;1,28;1,44;0;0;0,39;0;0;0;0;0,23;0;0;0;0;0;0;0;0
"comprendre";8,13;0;4,55;1,37;0;0;0;0,9;0;0,12;0,39;0;1,08;0;0,61;0,69;0;1,82;3,21;0;0;1,51;0;0
"jusqu_à";0;0;0;0,27;0;0;0,96;0;0;0,12;0;0;0;0;0;0;0;0;0;0;0,4;0,56;0;0
"jeu";0;0,44;0;0,14;0;0;0,96;0,54;2,8;0;0;0;1,08;22,22;1,22;0;0,57;1,82;0;0;0;0,56;0;0
"avec";8,13;7,47;8,12;6,44;0;0;11,87;10,47;3,73;11,04;5,1;0;5,39;0;7,32;4,83;0,57;9,12;3,21;10,88;3,63;9,23;10,2;0
"contre";4,07;0,44;1,95;1,37;0;0;0,96;0,36;0,93;3,55;0;0;0;0;0,61;0;2,27;0;0;0;0;1,88;10,2;0
"diffusion";0;0;0;0;0;0;1,93;0;0;0;0;0;0;0;0,61;0;0;0;0;0;0;0,75;0;0
"dernier";0;1,32;0,32;1,78;0;0;1,28;0,72;0;0,06;0;0;1,08;0;2,44;0,92;0;1,82;0;0;1,41;1,32;0;18,18
"leçon";0;0;0;0,27;0;0;0;0;0;0,06;0,39;0;0;0;0;1,84;0;3,65;0;0;0;0;0;0
"grandir";0;0;0;0,14;0;0;0;0,72;0;5,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"plan";0;0,44;0;0,82;0;0;0;0,18;0;0,06;0,78;0;1,08;0;0,61;0,46;0;0;0;0;0,6;1,51;0;0
"toujours";8,13;0,88;0,32;0,96;0;0;0,96;0,36;1,4;0;0,39;0;1,08;0;0,61;0;0,57;0;3,21;1,98;0,81;1,51;0;0
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,3;0;0;0;0;0;0;0;0
"secte";0;0;0;0;0;0;0;2,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"croire";0;0;0,32;0,27;0;0;0,32;0,72;0;0,12;0,39;0;2,16;0;1,22;0;0,57;0;6,41;1,98;1,01;0,56;0;0
"ses";0;3,08;0,65;3,98;0;0;1,28;5,59;10,26;15,52;2,74;0;3,23;0;6,1;0,69;1,14;7,3;0;0,99;1,41;4,71;10,2;0
"notamment";0;1,32;0;0;0;0;0,32;0,18;0;0;1,18;0;0;0;0;0,46;0;0;0;0,99;0;0;0;0
"europe";0;1,76;1,3;0,27;0;0;0,32;0,18;0;0;0,39;0;0;0;0;0,46;0;0;0;0;0;0;0;0
"incident";0;0;0;0;0;0;0;0;0;4,99;0;0;0;0;0,61;0;0;0;0;0;0,6;0,56;0;0
"recherche";0;9,23;0;1,92;0;0;0,96;0,18;1,4;0,06;0;0;1,08;0;1,83;0,23;0;0;0;1,98;0,2;1,51;0;0
"garçon";0;0;0;0,14;0;0;0,64;0;1,87;0;1,18;0;0;0;2,44;0;0;0;0;0;0;1,51;10,2;0
"environnement";0;0;0;0,14;0;0;0;0,36;0,93;0;0,78;0;0;0;0;0;13,63;0;0;0;0;0;0;0
"robin";0;0;0;0;0;0;0;0;0;9,98;0;0;0;0;0;0;0;0;0;0;0;0,19;0;0
"vol";0;0,44;0;0;0;0;0;0;0;0;0;0;0;0;0,61;0;0;0;0;0;0;1,51;0;0
"belhousse";0;0;0;2,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"35";0;0,44;1,3;0,27;0;0;0,96;0;0;0;0;0;0;0;0;1,84;0;0;0;0;0;0;0;0
"consacrer";0;0;0;0,69;0;0;1,6;1,99;0;0;0;0;0;0;0;0,23;0;0;0;0;0;0;0;0
"témoin";0;0;4,22;0;0;0;0;0,36;0;0;0;0;0;0;0;0,23;1,14;0;0;0,99;1,01;0,38;0;0
"mystère";0;0;0;0,27;0;0;0;0,18;0,93;0,06;0;0;0;0;0,61;0;0;0;12,82;0,99;0,2;0,75;0;0
"kelly";0;0;3,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hôpital";0;0;0,32;0;0;0;0;0;0;0,12;0;0;0;0;0;0,23;0;0;0;0;0;1,13;0;0
"retrouver";4,07;0,44;0;1,37;0;0;0,32;1,62;1,4;0,19;0,39;0;3,23;0;3,66;0;0,57;3,65;0;1,98;0,2;3,95;0;0
"couple";0;0;0;2,19;0;0;0,32;0;0;0;0,39;0;0;0;0,61;0,23;0;0;0;0;0;0;0;0
"victime";0;0;0;0,27;0;0;0,32;1,44;0;0;0;0;0;0;0,61;0;0;0;0;0;0;0,56;0;0
"d";32,52;9,23;11,36;19,33;24,69;0;18,93;22,92;23,79;28,93;25,87;0;17,24;22,22;17,69;18,87;18,74;21,9;9,62;26,71;28,21;23,73;30,61;54,55
"personnalité";0;0;0,32;0;0;0;0,64;1,08;0,47;0;0,39;0;0;0;0;0;0;0;0;0;0;0;0;0
"alexandre";0;0;4,87;0;0;0;0;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0,38;0;0
"frère";0;1,32;0;0;0;0;0,32;0,72;0,47;0;0,78;0;0;0;0;1,15;0;0;0;0;0;0,19;0;0
"t";0;0;0;0,55;0;0;0;0,9;1,4;0;0;0;0;0;0;0,46;0;0;3,21;0,99;1,41;0,94;0;0
"directeur";0;3,51;0;0,14;0;0;0,32;0,18;0;0;2,35;0;0;0;1,22;0,69;0;0;0;0;0;0;0;0
"millénaire";0;0;0;0,14;0;0;0;0;0;0;0;0;0;0;0;0;23,85;0;0;1,98;0;0;0;0
"bientôt";0;0;0;0,41;0;0;0;0;2,33;0;0,39;0;0;0;0;0;0;0;0;0;0;0,38;0;0
"ailleurs";0;0,88;0;1,23;0;0;0,32;0,18;0;0,06;0;0;0;0;0;0;0;0;0;0;0,2;0,56;0;0
"meilleur";0;0;1,95;0,14;0;0;0,32;0,36;0;0,06;0;0;1,08;0;0;0,23;0;0;0;0;0;0,19;10,2;0
"un";36,59;11,42;4,22;22,9;37,04;0;16,05;24,18;22,85;14,09;16,46;38,46;19,4;22,22;32,34;5,75;94,26;16,42;9,62;8,9;16,12;21,47;20,41;18,18
"tard";0;0;0;0,14;0;0;0;0,54;0,47;0;0;0;0;0;0,61;0;0;0;0;0;0;1,13;0;0
"menace";4,07;0,88;0;0,55;0;0;0;0;0;0,06;0;0;0;0;0;0;0;0;0;0;0,4;0,56;0;0
"coda";0;0;0;2,06;24,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,3;0;0;0;0;0;0;0;0
"astronaute";0;0,44;0;0;12,35;0;0;0;0,47;0;1,96;0;0;0;0;0,23;0;0;12,82;7,91;4,03;0;0;0
"pouvoir";8,13;1,32;1,3;3,15;0;0;1,93;3,43;2,8;6,8;5,49;0;1,08;0;3,05;1,38;0,57;0;6,41;10,88;12,09;2,26;0;0
"découverte";0;0;0,65;1,23;12,35;0;0;0,18;0,47;0;0,39;0;0;0;0;0,46;0,57;0;0;0;1,81;1,32;0;0
"millier";0;0,44;0;0,14;0;0;0;0;0;0;0,39;0;0;0;0;0;0;0;0;2,97;2,01;0;0;0
"continuer";4,07;0;0;0,14;0;0;0,32;0,54;0;0;0,39;0;1,08;0;0;0,46;0;0;0;0;1,41;0,19;0;0
