"";"banalfreq";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"devenir";25;0,5818;-0,4643;-0,0303;-0,0146;-0,1928
"évolution";12;-0,477;0,5617;-0,0145;-0,007;-0,0925
"chine";11;1,0575;-1,6999;-0,0133;-0,0064;0,7513
"substance";10;0,9237;-0,823;-0,0121;-0,0058;-0,0771
"unir";30;1,7655;-1,515;-0,0363;-0,0176;-0,2314
"sortir";18;0,3405;-0,4751;-0,0218;-0,0105;0,5631
"affaire";29;1,2259;-1,4159;-0,0351;-0,017;0,3953
"guerre";12;-1,2614;1,4198;-0,0145;-0,007;-0,0925
"penser";25;0,3757;-0,2882;-0,0303;-0,0146;-0,1928
"suivre";10;0,4831;-0,415;-0,0121;-0,0058;-0,0771
"possible";19;1,5128;-1,3305;-0,023;-0,0111;-0,1465
"poser";11;-0,9818;0,6806;-0,0133;-0,0064;0,7513
"fou";10;0,227;0,2109;-0,0121;-0,0058;-0,0771
"expérience";19;1,5128;-1,3305;-0,023;-0,0111;-0,1465
"corps";17;-0,5425;0,6524;-0,0206;-0,0099;-0,131
"internet";12;0,3676;-0,3057;-0,0145;-0,007;-0,0925
"aller";40;-0,2694;0,378;-0,0485;-0,0234;-0,3086
"affirmer";24;1,1232;-0,9499;-0,029;-0,014;-0,185
"semaine";22;1,9014;-1,6795;-0,0266;-0,0129;-0,1696
"différent";12;1,1938;-1,8546;1,4832;-0,007;-0,0925
"extra_terrestre";11;0,294;-0,2429;-0,0133;-0,0064;-0,0848
"visiteur";27;0,4915;-0,3827;-0,0327;-0,0158;-0,2082
"désert";21;0,5407;-0,4374;-0,0254;-0,0123;-0,1619
"venir";55;-1,3214;1,6721;-0,0667;-0,0322;-0,4247
"tomber";18;-1,9755;1,6876;-0,0218;-0,0105;0,5631
"laisser";22;0,3881;-0,5006;-0,0266;-0,0129;0,4904
"mythe";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"répondre";12;0,6869;-1,0669;-0,0145;-0,007;0,7172
"chaîne";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"spatial";19;-0,6182;0,7449;-0,023;-0,0111;-0,1465
"terre";85;0,7221;-0,757;-0,1032;0,9645;-0,2536
"gagner";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"espace";41;-1,123;1,3962;-0,0497;-0,024;-0,3164
"mort";15;0,6211;-0,5246;-0,0181;-0,0088;-0,1156
"science";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"information";21;1,7702;-1,5615;-0,0254;-0,0123;-0,1619
"créature";27;1,4349;-1,2233;-0,0327;-0,0158;-0,2082
"boucherie";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"astrophysicien";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"comprendre";35;-0,3437;0,4624;-0,0424;-0,0205;-0,27
"dernier";36;1,1593;-1,6602;-0,0436;-0,0211;0,8811
"leçon";11;0,5826;-0,9437;-0,0133;-0,0064;0,7513
"plan";14;0,2878;-0,2317;-0,0169;-0,0082;-0,1079
"secte";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"notamment";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"recherche";39;0,8259;-0,6447;-0,0472;-0,0228;-0,3009
"garçon";11;-0,5874;0,6806;-0,0133;-0,0064;-0,0848
"nucléaire";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"mystère";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"victime";11;-0,9818;0,6806;-0,0133;-0,0064;0,7513
"technologie";16;1,142;-0,9989;-0,0194;-0,0094;-0,1233
"frère";17;-0,3202;-0,2223;1,3348;-0,0099;-0,131
"meilleur";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"observation";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"tirailleur";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"découverte";25;1,6963;-1,4731;-0,0303;-0,0146;-0,1928
"continuer";16;1,142;-0,9989;-0,0194;-0,0094;-0,1233
"animal";21;1,2344;-1,0631;-0,0254;-0,0123;-0,1619
"temps";25;-0,3874;0,3142;-0,0303;-0,0146;0,4456
"façon";10;0,9237;-1,5453;-0,0121;-0,0058;0,789
"face";11;-0,9818;0,6806;-0,0133;1,8325;-0,0848
"rouge";10;0,9237;-1,5453;-0,0121;-0,0058;0,789
"montrer";24;0,7751;-0,9499;-0,029;-0,014;0,4598
"lune";16;-0,3864;0,4714;-0,0194;-0,0094;-0,1233
"seul";18;-0,2648;0,3345;-0,0218;-0,0105;-0,1387
"mauvais";12;0,3676;-0,3057;-0,0145;-0,007;-0,0925
"appeler";10;0,9237;-0,823;-0,0121;-0,0058;-0,0771
"françois";23;1,0242;-1,799;-0,0278;-0,0135;1,214
"nombre";10;0,4831;-0,823;-0,0121;-0,0058;0,789
"déage";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"transformer";11;-0,3082;0,3682;-0,0133;-0,0064;-0,0848
"jacques";18;0,9133;-1,2178;-0,0218;-0,0105;0,5631
"commencer";15;0,6211;-0,8932;-0,0181;-0,0088;0,6313
"archive";12;1,1938;-1,8546;1,4832;-0,007;-0,0925
"zone";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"donner";38;0,2596;-0,5887;0,9976;-0,0223;0,8431
"cours";19;1,5128;-1,3305;-0,023;-0,0111;-0,1465
"découvrir";46;-1,7296;1,454;-0,0557;-0,0269;0,7133
"forme";31;1,8793;-1,6157;-0,0375;-0,0181;-0,2391
"nom";10;0,9237;-0,823;-0,0121;-0,0058;-0,0771
"ex";21;1,2344;-1,0631;-0,0254;-0,0123;-0,1619
"marine";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"message";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"déguiser";15;-0,4656;0,3169;-0,0181;-0,0088;0,6313
"étrange";47;1,4444;-1,1651;-0,0569;-0,0275;-0,3628
"près_de";14;-1,3329;1,0357;-0,0169;-0,0082;0,6576
"héros";12;-0,477;0,2964;-0,0145;1,795;-0,0925
"vendre";10;-1,1903;1,3302;-0,0121;-0,0058;-0,0771
"loi";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"aimer";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"réalité";21;-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"visage";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"diffuser";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"base";11;0,294;-0,2429;-0,0133;-0,0064;-0,0848
"véritable";12;-0,477;0,5617;-0,0145;-0,007;-0,0925
"jour";25;1,2247;-1,4731;-0,0303;-0,0146;0,4456
"justice";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"portrait";13;0,7955;-1,1923;-0,0157;-0,0076;0,6861
"effet";11;-0,5874;0,6806;-0,0133;-0,0064;-0,0848
"grand";55;1,1911;-1,1687;0,8468;-0,0322;-0,4247
"jouer";13;0,2289;-0,3739;-0,0157;-0,0076;0,6861
"hapsatou";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"rester";21;0,5407;-0,4374;-0,0254;-0,0123;-0,1619
"visite";21;1,2344;-1,0631;-0,0254;-0,0123;-0,1619
"structure";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"utiliser";19;0,658;-0,8716;-0,023;-0,0111;0,5432
"volant";22;-1,2124;1,4208;-0,0266;-0,0129;-0,1696
"entrer";13;0,447;-0,3739;-0,0157;-0,0076;-0,1002
"heure";13;1,3324;-1,1923;-0,0157;-0,0076;-0,1002
"également";10;0,4831;-0,823;-0,0121;-0,0058;0,789
"rencontrer";14;-0,3147;0,3836;-0,0169;-0,0082;-0,1079
"représentant";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"université";17;0,8123;-0,6914;-0,0206;-0,0099;-0,131
"réaliser";14;-0,5605;0,6624;-0,0169;-0,0082;-0,1079
"trouver";32;0,2649;0,2998;-0,0387;-0,0187;-0,2468
"mohammed";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"carrière";11;1,0575;-1,6999;1,5204;-0,0064;-0,0848
"examiner";16;1,7587;-1,5786;-0,0194;-0,0094;-0,1233
"femme";27;0,3164;-0,3827;-0,0327;-0,0158;0,4192
"he";12;0,3676;-1,0669;-0,0145;-0,007;1,743
"étude";17;1,2633;-1,1072;-0,0206;-0,0099;-0,131
"chercher";16;-1,4042;1,5988;-0,0194;-0,0094;-0,1233
"star";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"siècle";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"voix";17;1,2633;-1,7102;-0,0206;-0,0099;0,5843
"réputation";19;1,5128;-1,3305;-0,023;-0,0111;-0,1465
"force";11;-0,3082;0,3682;-0,0133;-0,0064;-0,0848
"nes";15;0,3523;-0,5246;-0,0181;-0,0088;0,6313
"géant";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"comportement";16;1,7587;-1,5786;-0,0194;-0,0094;-0,1233
"créer";15;-0,4656;0,3169;1,388;-0,0088;-0,1156
"cabrol";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"voyage";24;1,1232;-0,9499;-0,029;-0,014;-0,185
"servir";11;0,294;-0,2429;-0,0133;-0,0064;-0,0848
"magazine";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"lieu";15;-1,1416;1,3077;-0,0181;-0,0088;-0,1156
"mystérieux";19;0,658;-0,5462;-0,023;-0,0111;-0,1465
"handicapé";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"dieu";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"etats";15;0,6211;-0,5246;-0,0181;-0,0088;-0,1156
"père";16;-0,3864;0,4714;-0,0194;-0,0094;-0,1233
"margot";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"équipe";22;-0,6007;0,4869;-0,0266;-0,0129;0,4904
"clair";10;-0,3904;-0,415;1,5612;-0,0058;0,789
"main";11;0,294;-0,2429;-0,0133;-0,0064;-0,0848
"agir";21;-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"trace";10;0,9237;-0,823;-0,0121;-0,0058;-0,0771
"rugby";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"capable";10;0,4831;-0,415;-0,0121;-0,0058;-0,0771
"mars";16;0,7148;-1,5786;-0,0194;-0,0094;1,5033
"davant";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"mot";11;0,294;-0,9437;-0,0133;-0,0064;1,8172
"rappeler";13;-0,3875;-0,3739;-0,0157;1,7605;0,6861
"ex_membre";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"fils";11;-0,9818;1,1117;-0,0133;-0,0064;-0,0848
"important";11;0,5826;-0,9437;-0,0133;-0,0064;0,7513
"récit";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"rapport";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"association";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"travail";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"part";14;0,5317;-0,447;-0,0169;-0,0082;-0,1079
"dossier";12;0,6869;-1,8546;-0,0145;-0,007;1,743
"recevoir";29;1,2259;-1,9115;-0,0351;1,4164;0,3953
"expert";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"secret";16;0,7148;-0,9989;-0,0194;-0,0094;0,607
"mener";11;-0,3082;0,3682;-0,0133;-0,0064;-0,0848
"moment";14;0,9078;-1,3195;-0,0169;-0,0082;0,6576
"travers";13;0,447;-0,3739;-0,0157;-0,0076;-0,1002
"avenir";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"conseil";12;1,1938;-1,0669;-0,0145;-0,007;-0,0925
"travailler";14;1,4729;-1,3195;-0,0169;-0,0082;-0,1079
"objet";27;1,9388;-1,6892;-0,0327;-0,0158;-0,2082
"laurie";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"identifier";25;0,8598;-0,7093;-0,0303;-0,0146;-0,1928
"réseau";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"écrire";12;0,6869;-1,0669;-0,0145;-0,007;0,7172
"beau";12;0,3676;-0,5945;-0,0145;-0,007;0,7172
"sembler";16;-1,4042;1,5988;-0,0194;-0,0094;-0,1233
"cacher";19;-0,6182;0,7449;-0,023;-0,0111;-0,1465
"annonce";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"agnès";10;0,4831;-0,823;-0,0121;-0,0058;0,789
"moyen";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"mois";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"enquête";22;0,3881;-0,3036;-0,0266;-0,0129;-0,1696
"nouvelle";13;-1,0628;0,4641;-0,0157;-0,0076;1,6755
"mettre";25;-0,3874;-0,2882;-0,0303;1,4798;0,4456
"construire";15;1,6151;-1,4483;-0,0181;-0,0088;-0,1156
"coeur";13;-0,6748;0,4641;-0,0157;-0,0076;0,6861
"âge";13;0,7955;-0,6906;-0,0157;-0,0076;-0,1002
"bande";15;1,0234;-1,4483;-0,0181;-0,0088;0,6313
"entrepreneur";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"exister";16;1,142;-0,9989;-0,0194;-0,0094;-0,1233
"peret";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"élément";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"groupe";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"entier";23;1,4611;-1,264;-0,0278;-0,0135;-0,1773
"boucher";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"apporter";11;0,294;-0,5024;-0,0133;-0,0064;0,7513
"revue";10;0,4831;-1,5453;-0,0121;-0,0058;1,8993
"cnrs";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"chercheur";10;0,4831;-0,823;1,5612;-0,0058;-0,0771
"porter";10;0,227;-0,823;-0,0121;-0,0058;1,8993
"envoyer";13;-0,3875;0,4641;-0,0157;-0,0076;-0,1002
"sud";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"christian";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"bout";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"professeur";21;-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"maison";20;0,2783;0,2358;-0,0242;-0,0117;-0,1542
"arriver";16;-0,9791;1,135;-0,0194;-0,0094;-0,1233
"tourner";10;0,227;-0,415;-0,0121;-0,0058;0,789
"vincent";12;1,1938;-1,0669;-0,0145;-0,007;-0,0925
"nasa";14;1,4729;-1,3195;-0,0169;-0,0082;-0,1079
"chose";11;-0,9818;1,1117;-0,0133;-0,0064;-0,0848
"patron";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"fédération";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"nuit";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"permettre";20;1,6406;-1,4451;-0,0242;-0,0117;-0,1542
"galley";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"xavier";10;-0,3904;0,4579;-0,0121;-0,0058;-0,0771
"rendre";43;-1,1895;1,193;-0,0521;-0,0252;0,2723
"partir";26;1,3287;-1,1299;-0,0315;-0,0152;-0,2005
"marier";15;0,3523;-0,5246;-0,0181;-0,0088;0,6313
"préparer";10;0,227;-0,823;-0,0121;1,8736;0,789
"mère";10;-0,7248;0,827;-0,0121;-0,0058;-0,0771
"humain";38;0,2596;0,3256;-0,046;-0,0223;-0,2932
"courant";12;0,6869;-1,8546;-0,0145;-0,007;1,743
"décrire";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"fantôme";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
