"";"banalfreq";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"explication";12;0,2806;-0,6641;-0,57;0,2174;1,2208;-0,2585;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;-0,0174;-0,1078;-0,0122;1,5011;-0,1498;-0,0107;1,3207;-0,023;-0,1045;-0,0105;-0,0474;0,4128;-0,1492;-0,0638;-0,0593;-0,0141;-0,0135;-0,0065;0,6186;-0,0492;-0,0115;-0,1225;-0,0271;-0,013;-0,1535;0,702;-0,0871;-0,1523;-0,0096;-0,0061;-0,0661;-0,0193;-0,013;-0,0139;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;-0,0442;-0,0386;-0,0104;-0,048;-0,0096
"certains";20;-0,5374;-0,5366;0,464;1,856;0,3035;-0,4309;0,773;-0,1257;-0,0122;-0,0514;-0,1239;-0,0291;0,4699;-0,0203;1,0955;0,3593;-0,0178;-0,6361;1,0734;-0,1743;-0,0176;0,7786;-0,3537;0,3605;-0,1064;-0,0989;-0,0234;-0,0225;-0,0108;-0,1993;-0,082;-0,0191;-0,2041;-0,0451;-0,0216;-0,2559;-0,1603;-0,1452;0,354;-0,016;-0,0101;-0,1102;-0,0322;-0,0216;-0,0232;0,7925;-0,0158;-0,0194;-0,0169;-0,0214;-0,0205;-0,0736;-0,0643;-0,0173;-0,08;-0,016
"héros";12;1,5013;-0,244;-0,1921;-0,4048;0,4711;0,3482;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;1,405;-0,1078;-0,0122;-0,1248;1,3583;-0,0107;-0,3816;-0,023;-0,1045;-0,0105;-0,0474;-0,2122;0,5365;-0,0638;-0,0593;-0,0141;-0,0135;-0,0065;-0,1196;-0,0492;-0,0115;-0,1225;-0,0271;-0,013;-0,1535;-0,0962;-0,0871;-0,1523;-0,0096;-0,0061;-0,0661;-0,0193;-0,013;-0,0139;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;-0,0442;1,0703;-0,0104;-0,048;-0,0096
"vendre";10;-0,2687;1,6257;-0,475;-0,3373;-0,1493;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;0,8764;-0,0145;-0,0899;-0,0101;-0,104;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;1,0604;-0,1768;-0,1243;-0,0532;-0,0494;-0,0117;1,5919;-0,0054;0,6882;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;-0,0801;-0,0726;1,4953;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"réalité";21;1,4678;0,6238;-0,2028;1,174;0,2889;-0,4525;-0,0842;0,5815;-0,0128;-0,054;-0,1301;-0,0305;-0,1888;-0,0213;-0,2185;-0,2621;-0,0187;-0,6679;-0,0402;-0,183;1,3812;-0,083;-0,3714;-0,2611;-0,1117;-0,1038;-0,0246;-0,0236;-0,0113;-0,2093;-0,0861;-0,0201;-0,2143;-0,0474;-0,0227;0,336;-0,1683;0,5287;0,3386;-0,0168;-0,0106;-0,1157;-0,0338;-0,0227;1,2633;-0,0802;-0,0165;-0,0203;-0,0177;-0,0225;-0,0215;-0,0773;-0,0676;-0,0182;-0,084;-0,0168
"visage";12;-0,3224;-0,6641;-0,1921;1,2592;-0,1791;-0,2585;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;-0,0174;-0,1078;1,559;0,6024;1,3583;-0,0107;-0,3816;-0,023;-0,1045;-0,0105;-0,0474;-0,2122;-0,1492;-0,0638;0,894;-0,0141;-0,0135;-0,0065;-0,1196;-0,0492;-0,0115;0,6095;-0,0271;-0,013;0,5261;-0,0962;-0,0871;-0,1523;-0,0096;-0,0061;0,85;-0,0193;-0,013;-0,0139;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;-0,0442;-0,0386;-0,0104;-0,048;-0,0096
"cet";21;-0,5643;-0,5763;0,7786;0,6902;0,2889;0,5682;-0,0842;0,5815;-0,0128;-0,054;-0,1301;-0,0305;-0,1888;-0,0213;-0,2185;1,6862;-0,0187;0,3543;-0,0402;0,4637;-0,0184;0,7594;-0,3714;-0,2611;-0,1117;-0,1038;-0,0246;-0,0236;-0,0113;-0,2093;-0,0861;-0,0201;-0,2143;-0,0474;1,293;-0,2687;-0,1683;-0,1524;0,3386;-0,0168;-0,0106;-0,1157;-0,0338;-0,0227;-0,0244;-0,0802;-0,0165;-0,0203;-0,0177;-0,0225;-0,0215;-0,0773;-0,0676;-0,0182;-0,084;-0,0168
"dire";20;-0,1801;-1,107;-0,1828;-0,6747;-0,2986;0,2012;-0,0802;-0,1257;-0,0122;-0,0514;-0,1239;-0,0291;-0,1798;-0,0203;0,4195;0,963;-0,0178;-0,2347;-0,0383;-0,1743;-0,0176;0,7786;0,254;0,9657;-0,1064;0,6913;-0,0234;-0,0225;-0,0108;-0,1993;-0,082;-0,0191;-0,2041;-0,0451;-0,0216;0,9454;1,2923;0,5465;0,354;1,4421;-0,0101;-0,1102;-0,0322;-0,0216;-0,0232;-0,0764;-0,0158;-0,0194;-0,0169;-0,0214;-0,0205;-0,0736;-0,0643;-0,0173;-0,08;-0,016
"jour";25;-0,6719;-0,7405;0,591;0,5436;-0,3733;-0,1823;-0,1003;-0,1572;-0,0152;-0,0643;-0,1549;-0,0363;-0,2247;-0,0253;0,9301;0,8039;-0,0222;-0,3327;-0,0479;0,404;-0,022;-0,0989;-0,4422;0,8064;0,5788;0,6062;-0,0293;-0,0282;-0,0135;1,7342;-0,1025;-0,0239;-0,2552;-0,0564;-0,027;0,283;-0,2003;-0,1815;0,2854;-0,02;-0,0127;-0,1378;-0,0403;-0,027;-0,029;-0,0955;-0,0197;-0,0242;-0,0211;1,2239;-0,0256;-0,0921;-0,0804;-0,0217;-0,1;-0,02
"effet";11;-0,2956;-0,2117;-0,5225;1,3599;0,5019;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;0,6352;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;-0,0435;-0,1945;0,5684;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;1,6078;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;0,7359;-0,0798;-0,1396;1,6982;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"grand";55;-0,824;-0,294;0,9541;-0,6756;-0,3553;-0,3019;1,0407;0,7279;-0,0334;-0,1415;-0,3409;-0,08;0,9875;-0,0558;0,4259;0,3334;-0,0489;-0,3468;0,6665;-0,4794;-0,0483;-0,2176;-0,4561;0,3352;-0,2926;0,3322;-0,0644;-0,062;-0,0297;-0,5483;-0,2257;-0,0527;0,8677;-0,1241;-0,0595;-0,2813;0,5748;-0,3994;1,6816;-0,044;-0,0279;0,2988;-0,0887;-0,0595;0,8643;-0,2101;-0,0434;0,9376;-0,0465;-0,0589;-0,0564;-0,2026;-0,177;-0,0477;0,4006;-0,044
"jouer";13;-0,3493;-0,2775;-0,6175;-0,4385;1,1578;0,3231;-0,0521;-0,0817;-0,0079;1,1303;-0,0805;1,371;0,6273;-0,0132;0,5726;-0,1622;-0,0116;0,6332;-0,0249;-0,1133;-0,0114;-0,0514;0,3861;1,2967;-0,0691;-0,0642;-0,0152;-0,0146;-0,007;-0,1295;-0,0533;-0,0124;-0,1327;-0,0293;-0,0141;-0,1663;-0,1042;-0,0943;-0,1649;-0,0104;-0,0066;-0,0716;-0,0209;-0,0141;-0,0151;-0,0496;-0,0102;-0,0126;-0,011;-0,0139;-0,0133;-0,0479;-0,0418;-0,0113;-0,052;-0,0104
"jamais";16;-0,4299;-0,8856;-0,3052;0,4706;1,8096;0,2613;-0,0642;1,6646;-0,0097;-0,0411;-0,0991;-0,0233;-0,1438;-0,0162;-0,1664;-0,1997;-0,0142;-0,5089;-0,0307;-0,1394;-0,014;-0,0633;-0,283;0,4347;-0,0851;-0,0791;-0,0187;-0,018;-0,0086;-0,1594;-0,0656;-0,0153;-0,1633;-0,0361;-0,0173;1,1124;0,5924;-0,1161;-0,203;-0,0128;-0,0081;-0,0882;-0,0258;-0,0173;-0,0186;0,882;-0,0126;1,4554;-0,0135;-0,0171;-0,0164;-0,0589;0,9517;-0,0139;-0,064;-0,0128
"rester";21;-0,5643;-1,1624;1,7704;1,174;0,8033;-0,4525;-0,0842;-0,132;-0,0128;-0,054;-0,1301;-0,0305;-0,1888;-0,0213;1,0586;-0,2621;-0,0187;-0,6679;-0,0402;-0,183;-0,0184;0,7594;-0,3714;0,345;-0,1117;-0,1038;-0,0246;-0,0236;-0,0113;-0,2093;-0,0861;1,3447;-0,2143;0,9859;-0,0227;-0,2687;-0,1683;-0,1524;-0,2665;-0,0168;-0,0106;-0,1157;-0,0338;1,293;-0,0244;0,7732;-0,0165;-0,0203;-0,0177;-0,0225;1,3157;-0,0773;-0,0676;-0,0182;-0,084;-0,0168
"visite";21;-0,5643;-0,5763;0,7786;0,3258;1,4881;0,5682;-0,0842;-0,132;-0,0128;-0,054;-0,1301;-0,0305;-0,1888;-0,0213;0,4031;-0,2621;-0,0187;-0,6679;1,0531;0,4637;-0,0184;-0,083;0,2405;1,6904;-0,1117;-0,1038;-0,0246;-0,0236;-0,0113;-0,2093;-0,0861;-0,0201;-0,2143;-0,0474;-0,0227;-0,2687;-0,1683;-0,1524;0,3386;-0,0168;-0,0106;-0,1157;-0,0338;-0,0227;-0,0244;-0,0802;-0,0165;-0,0203;-0,0177;1,2975;-0,0215;-0,0773;-0,0676;-0,0182;-0,084;-0,0168
"utiliser";19;-0,5106;-0,4974;-0,9025;1,3117;1,604;0,2144;-0,0762;0,6189;-0,0115;-0,0489;-0,1177;-0,0276;-0,1708;-0,0193;0,437;0,376;-0,0169;-0,2162;-0,0364;-0,1655;-0,0167;-0,0751;0,7586;0,3772;-0,101;-0,0939;-0,0223;-0,0214;-0,0103;-0,1893;-0,0779;-0,0182;-0,1939;-0,0428;-0,0205;-0,2431;-0,1523;1,4099;-0,2411;-0,0152;-0,0096;-0,1047;1,1671;-0,0205;-0,022;-0,0725;-0,015;-0,0184;-0,016;-0,0203;-0,0195;-0,07;-0,0611;-0,0165;-0,076;-0,0152
"rencontre";25;-0,6719;-1,3839;0,591;-0,3634;-0,3733;-0,1823;0,6857;-0,1572;-0,0152;-0,0643;-0,1549;-0,0363;0,3937;-0,0253;-0,2601;0,8039;-0,0222;-0,3327;-0,0479;0,404;-0,022;-0,0989;0,1947;-0,3109;0,5788;-0,1236;-0,0293;-0,0282;-0,0135;-0,2491;-0,1025;-0,0239;-0,2552;-0,0564;-0,027;-0,3199;1,9844;-0,1815;0,2854;-0,02;-0,0127;1,4055;-0,0403;1,2194;-0,029;0,7048;-0,0197;-0,0242;-0,0211;1,2239;-0,0256;-0,0921;1,8371;-0,0217;-0,1;-0,02
"également";10;-0,2687;-0,5534;-0,1413;-0,3373;0,5363;0,4078;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;-0,0899;-0,0101;-0,104;-0,1248;-0,0089;0,2847;-0,0192;-0,0871;-0,0088;-0,0395;0,4756;0,6039;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;0,6882;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;-0,0801;0,8128;-0,1269;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;1,7156;-0,0107;-0,0102;1,09;-0,0322;-0,0087;-0,04;-0,008
"rencontrer";14;-0,3762;-0,312;-0,247;1,7707;0,4179;-0,3016;0,9162;1,7766;-0,0085;-0,036;-0,0867;-0,0203;-0,1258;-0,0142;-0,1456;0,4799;-0,0125;-0,4452;-0,0268;-0,122;-0,0123;-0,0554;-0,2476;0,4812;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;-0,1395;-0,0574;-0,0134;-0,1429;-0,0316;-0,0151;-0,1791;-0,1122;-0,1016;0,474;-0,0112;-0,0071;-0,0772;-0,0226;-0,0151;-0,0162;-0,0534;-0,011;-0,0136;-0,0118;-0,015;-0,0143;-0,0515;1,0065;-0,0121;-0,056;-0,0112
"chercher";16;0,2018;0,9386;-0,76;0,949;-0,2389;0,2613;-0,0642;0,6846;-0,0097;-0,0411;0,6902;-0,0233;-0,1438;-0,0162;0,4971;0,4335;-0,0142;-0,5089;-0,0307;-0,1394;-0,014;-0,0633;-0,283;-0,1989;-0,0851;-0,0791;-0,0187;-0,018;-0,0086;-0,1594;-0,0656;-0,0153;-0,1633;-0,0361;-0,0173;-0,2047;-0,1282;-0,1161;-0,203;-0,0128;1,7333;0,7357;-0,0258;1,4085;-0,0186;-0,0611;-0,0126;-0,0155;-0,0135;-0,0171;-0,0164;-0,0589;-0,0515;-0,0139;-0,064;-0,0128
"aider";10;0,336;-0,1807;0,5563;1,474;-0,1493;-0,2154;-0,0401;-0,0629;-0,0061;1,2404;-0,0619;-0,0145;-0,0899;-0,0101;-0,104;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;-0,0395;-0,1768;0,6039;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;-0,0996;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;1,7042;-0,04;-0,008
"force";11;0,3066;-0,2117;-0,1662;-0,371;-0,1642;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;0,6352;-0,1373;-0,0098;0,7456;-0,0211;0,7033;-0,0097;-0,0435;-0,1945;0,5684;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;0,6516;1,0058;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;1,5384;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"créer";15;0,6456;0,5786;-0,2757;0,5084;-0,2239;-0,3232;-0,0602;0,7096;-0,0091;-0,0386;-0,0929;-0,0218;-0,1348;-0,0152;-0,156;-0,1872;-0,0133;-0,4771;-0,0287;0,5853;-0,0132;-0,0593;0,34;0,457;-0,0798;-0,0741;-0,0176;-0,0169;-0,0081;-0,1495;0,8792;-0,0144;-0,1531;-0,0338;-0,0162;1,1622;-0,1202;-0,1089;-0,1903;-0,012;-0,0076;-0,0827;-0,0242;-0,0162;-0,0174;-0,0573;-0,0118;-0,0145;-0,0127;-0,016;-0,0154;-0,0552;-0,0483;-0,013;-0,06;-0,012
"lieu";15;-0,4031;-0,3475;-0,2757;1,0154;0,3948;-0,3232;0,8882;-0,0943;-0,0091;-0,0386;-0,0929;-0,0218;-0,1348;-0,0152;0,5203;0,4557;-0,0133;-0,1467;-0,0287;-0,1307;-0,0132;0,894;-0,2653;-0,1865;-0,0798;0,8043;-0,0176;-0,0169;-0,0081;-0,1495;-0,0615;-0,0144;-0,1531;-0,0338;-0,0162;-0,1919;-0,1202;-0,1089;-0,1903;-0,012;-0,0076;-0,0827;-0,0242;-0,0162;1,406;-0,0573;-0,0118;-0,0145;-0,0127;-0,016;-0,0154;0,923;0,9782;-0,013;-0,06;-0,012
"mystérieux";19;-0,5106;-0,4974;0,5032;1,9539;1,604;1,9275;-0,0762;-0,1195;-0,0115;-0,0489;-0,1177;-0,0276;-0,1708;-0,0193;-0,1976;-0,2371;-0,0169;-0,6043;-0,0364;-0,1655;-0,0167;-0,0751;-0,336;-0,2363;-0,101;1,716;-0,0223;-0,0214;-0,0103;-0,1893;-0,0779;-0,0182;-0,1939;-0,0428;-0,0205;-0,2431;-0,1523;-0,1379;-0,2411;-0,0152;-0,0096;-0,1047;-0,0306;-0,0205;1,3056;-0,0725;-0,015;-0,0184;-0,016;-0,0203;-0,0195;-0,07;-0,0611;-0,0165;-0,076;-0,0152
"ville";14;0,237;-0,312;0,3628;0,5503;-0,209;0,3005;-0,0561;1,7766;-0,0085;-0,036;-0,0867;-0,0203;-0,1258;-0,0142;-0,1456;-0,1747;-0,0125;-0,4452;-0,0268;0,6111;-0,0123;-0,0554;0,362;-0,1741;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;-0,1395;-0,0574;1,5175;-0,1429;-0,0316;-0,0151;-0,1791;-0,1122;-0,1016;0,474;-0,0112;-0,0071;-0,0772;-0,0226;-0,0151;-0,0162;-0,0534;-0,011;1,5125;-0,0118;-0,015;-0,0143;-0,0515;-0,045;-0,0121;-0,056;-0,0112
"etats";15;0,2185;0,2591;-0,7125;1,6619;-0,2239;-0,3232;-0,0602;-0,0943;-0,0091;-0,0386;0,7153;-0,0218;0,5737;-0,0152;0,5203;-0,1872;-0,0133;-0,4771;-0,0287;-0,1307;-0,0132;-0,0593;0,34;-0,1865;-0,0798;-0,0741;-0,0176;-0,0169;-0,0081;0,5358;-0,0615;-0,0144;-0,1531;-0,0338;-0,0162;-0,1919;-0,1202;0,6542;-0,1903;-0,012;-0,0076;-0,0827;-0,0242;-0,0162;-0,0174;0,9082;-0,0118;-0,0145;-0,0127;-0,016;-0,0154;0,923;-0,0483;-0,013;-0,06;-0,012
"équipe";22;-0,5912;-1,2178;-0,2235;0,3036;-0,3285;1,0562;-0,0882;1,4047;-0,0134;-0,0566;-0,1363;-0,032;0,4368;-0,0223;-0,2289;-0,2746;-0,0196;-0,2729;-0,0422;-0,1917;-0,0193;-0,087;0,2278;0,3303;-0,117;-0,1087;-0,0258;-0,0248;-0,0119;0,4019;-0,0902;-0,0211;0,3939;-0,0496;-0,0238;-0,2815;-0,1763;-0,1597;1,6132;-0,0176;-0,0111;0,6133;1,1058;-0,0238;-0,0255;-0,084;-0,0173;-0,0213;-0,0186;-0,0235;1,296;-0,081;-0,0708;-0,0191;0,7366;-0,0176
"sous";18;-0,4837;-0,1987;0,2443;0,8326;0,9127;0,6663;-0,0722;-0,1132;-0,0109;0,9952;-0,1115;-0,0262;-0,1618;-0,0182;0,4556;-0,2247;-0,016;-0,5725;-0,0345;0,5184;-0,0158;-0,0712;0,2844;-0,2238;-0,0957;-0,089;-0,0211;-0,0203;-0,0097;-0,1794;-0,0738;-0,0172;-0,1837;-0,0406;-0,0195;-0,2303;0,5488;-0,1306;-0,2284;-0,0144;-0,0091;-0,0992;-0,029;-0,0195;-0,0209;0,8346;-0,0142;1,4052;-0,0152;-0,0193;-0,0184;-0,0663;-0,0579;-0,0156;-0,072;-0,0144
"mal";11;0,3066;-0,2117;-0,5225;-0,371;-0,1642;0,3762;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;0,6352;-0,1373;1,6522;-0,3498;-0,0211;-0,0958;-0,0097;-0,0435;-0,1945;0,5684;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;1,0058;-0,0105;-0,1123;-0,0248;-0,0119;0,5579;-0,0881;0,7749;0,5609;-0,0088;-0,0056;0,8851;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"main";11;-0,2956;-0,2117;-0,5225;-0,371;-0,1642;0,3762;-0,0441;0,8321;-0,0067;-0,0283;0,838;-0,016;-0,0989;-0,0111;1,5735;-0,1373;-0,0098;-0,3498;1,3245;-0,0958;-0,0097;-0,0435;-0,1945;-0,1368;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;0,5579;-0,0881;-0,0798;1,4164;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;1,0354;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"mot";11;-0,2956;-0,2117;-0,5225;-0,371;-0,1642;0,3762;-0,0441;-0,0691;-0,0067;-0,0283;0,838;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;1,4228;-0,0211;-0,0958;-0,0097;-0,0435;-0,1945;1,4323;0,8996;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;0,5609;-0,0088;-0,0056;-0,0606;1,3981;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"fils";11;-0,2956;-0,6088;-0,1662;1,3599;-0,1642;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;0,7456;-0,0211;-0,0958;-0,0097;-0,0435;0,4425;0,5684;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;-0,1396;-0,0088;-0,0056;0,8851;-0,0177;-0,0119;-0,0128;1,0354;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;1,1066;-0,0095;-0,044;-0,0088
"pourquoi";17;-0,4568;-0,9409;1,0385;-0,1981;-0,2538;-0,3663;-0,0682;1,6144;-0,0103;-0,0437;-0,1053;-0,0247;-0,1528;-0,0172;1,2207;0,4129;-0,0151;-0,1805;-0,0326;-0,1481;-0,0149;0,8435;-0,3006;0,4141;-0,0904;0,7547;-0,0199;-0,0191;-0,0092;-0,1694;0,8288;-0,0163;-0,1735;1,0732;-0,0184;-0,2175;-0,1362;-0,1234;0,4073;-0,0136;-0,0086;-0,0937;-0,0274;-0,0184;-0,0197;-0,0649;-0,0134;-0,0165;-0,0144;-0,0182;-0,0174;-0,0626;-0,0547;-0,0147;-0,068;-0,0136
"important";11;-0,2956;-0,6088;-0,5225;1,3599;1,2904;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;1,021;-0,1945;1,4323;-0,0585;0,9294;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;1,41;-0,0881;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
