"";"banalfreq";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"récit";10;0,336;-0,1807;-0,475;1,474;1,3679;-0,2154;1,0545;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;-0,0899;-0,0101;-0,104;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;-0,0395;-0,1768;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;-0,0996;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;0,7735;-0,0726;-0,1269;-0,008;-0,0051;0,9238;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"29";12;0,2806;-0,6641;-0,57;-0,4048;-0,1791;-0,2585;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;-0,0174;1,6175;-0,0122;-0,1248;-0,1498;-0,0107;0,2331;-0,023;-0,1045;-0,0105;-0,0474;1,9731;1,3612;-0,0638;-0,0593;-0,0141;-0,0135;-0,0065;0,6186;-0,0492;-0,0115;-0,1225;-0,0271;-0,013;-0,1535;-0,0962;-0,0871;-0,1523;-0,0096;-0,0061;-0,0661;-0,0193;-0,013;-0,0139;-0,0458;-0,0095;1,5785;-0,0101;-0,0128;-0,0123;-0,0442;-0,0386;-0,0104;0,9804;-0,0096
"travail";11;-0,2956;-0,6088;-0,5225;-0,371;-0,1642;1,0162;-0,0441;-0,0691;-0,0067;-0,0283;0,838;-0,016;-0,0989;-0,0111;1,5735;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;1,021;0,4425;1,4323;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;0,7359;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;1,5686;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"mener";11;-0,2956;-0,2117;-0,5225;0,7071;0,5019;-0,237;-0,0441;0,8321;-0,0067;-0,0283;0,838;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;1,021;-0,1945;0,5684;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;1,41;-0,0881;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;1,6982
"moment";14;-0,3762;-0,7749;-0,247;-0,4722;-0,209;-0,3016;-0,0561;-0,088;-0,0085;-0,036;0,7422;-0,0203;0,5994;-0,0142;0,5453;0,4799;-0,0125;0,5856;-0,0268;-0,122;-0,0123;-0,0554;-0,2476;0,4812;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;0,5611;-0,0574;-0,0134;-0,1429;-0,0316;-0,0151;1,2161;0,6428;-0,1016;0,474;-0,0112;-0,0071;0,7884;-0,0226;-0,0151;-0,0162;-0,0534;-0,011;-0,0136;-0,0118;-0,015;-0,0143;-0,0515;-0,045;-0,0121;-0,056;-0,0112
"travers";13;1,4067;0,7051;-0,2191;-0,4385;-0,1941;-0,2801;-0,0521;-0,0817;-0,0079;-0,0334;-0,0805;-0,0189;-0,1168;-0,0132;-0,1352;-0,1622;-0,0116;0,2118;-0,0249;-0,1133;-0,0114;-0,0514;-0,2299;0,5076;-0,0691;-0,0642;-0,0152;-0,0146;-0,007;0,5886;-0,0533;-0,0124;-0,1327;1,1853;-0,0141;-0,1663;-0,1042;-0,0943;-0,1649;-0,0104;-0,0066;-0,0716;-0,0209;-0,0141;-0,0151;0,9666;-0,0102;-0,0126;-0,011;-0,0139;-0,0133;0,9815;-0,0418;-0,0113;-0,052;-0,0104
"depuis";49;-1,3173;-1,8286;0,4003;0,8048;-0,7319;-0,2404;1,9838;0,8058;-0,0298;-0,1261;-0,3037;-0,0712;-0,4406;-0,0497;0,9603;-0,6118;-0,0436;-0,2662;-0,0939;-0,4271;-0,043;0,4437;-0,3842;0,3934;0,3455;0,369;-0,0574;-0,0552;-0,0265;-0,1584;-0,2011;-0,0469;-0,1646;0,6484;-0,053;-0,2351;0,6468;0,7103;0,7776;-0,0392;-0,0248;0,8966;0,7792;-0,053;-0,0569;1,1635;-0,0386;-0,0475;-0,0414;-0,0524;-0,0502;0,4685;-0,1577;-0,0425;-0,1961;-0,0392
"conseil";12;0,2806;-0,6641;-0,57;1,2592;-0,1791;-0,2585;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;-0,0174;1,6175;-0,0122;-0,1248;-0,1498;-0,0107;0,2331;-0,023;0,6697;-0,0105;-0,0474;-0,2122;-0,1492;-0,0638;-0,0593;-0,0141;-0,0135;-0,0065;-0,1196;0,9701;-0,0115;-0,1225;-0,0271;-0,013;0,5261;-0,0962;-0,0871;-0,1523;-0,0096;-0,0061;0,85;-0,0193;-0,013;-0,0139;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;1,0145;-0,0386;-0,0104;-0,048;-0,0096
"31";11;0,8597;-0,6088;-0,5225;-0,371;-0,1642;0,3762;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;1,6908;-0,0111;-0,1144;-0,1373;-0,0098;0,2572;-0,0211;-0,0958;-0,0097;-0,0435;0,4425;-0,1368;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;1,6078;-0,0451;-0,0105;0,6425;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;0,5609;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"eux";14;-0,3762;-0,312;-0,247;-0,1437;0,4179;0,3005;-0,0561;-0,088;-0,0085;-0,036;-0,0867;-0,0203;-0,1258;-0,0142;-0,1456;0,4799;-0,0125;-0,4452;-0,0268;-0,122;-0,0123;-0,0554;-0,2476;0,4812;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;-0,1395;0,9071;1,5175;-0,1429;-0,0316;1,4654;1,2161;-0,1122;-0,1016;-0,1776;-0,0112;-0,0071;-0,0772;1,2958;-0,0151;-0,0162;-0,0534;-0,011;-0,0136;-0,0118;-0,015;-0,0143;0,9511;-0,045;-0,0121;-0,056;-0,0112
"là";17;-0,4568;0,8631;1,5952;0,4362;0,354;-0,3663;-0,0682;-0,1069;-0,0103;-0,0437;0,6669;-0,0247;-0,1528;-0,0172;-0,1768;-0,2122;-0,0151;-0,5407;-0,0326;-0,1481;-0,0149;0,8435;-0,3006;-0,2114;-0,0904;-0,084;-0,0199;-0,0191;-0,0092;-0,1694;-0,0697;-0,0163;0,4823;-0,0383;-0,0184;-0,2175;-0,1362;-0,1234;0,4073;-0,0136;-0,0086;-0,0937;-0,0274;-0,0184;-0,0197;-0,0649;-0,0134;-0,0165;-0,0144;-0,0182;-0,0174;-0,0626;0,9269;-0,0147;-0,068;-0,0136
"sembler";16;-0,4299;-0,8856;-0,3052;1,5629;1,8096;-0,3447;-0,0642;-0,1006;1,6548;-0,0411;0,6902;-0,0233;0,5499;-0,0162;-0,1664;0,4335;-0,0142;-0,1633;-0,0307;-0,1394;-0,014;0,8679;-0,283;-0,1989;-0,0851;-0,0791;-0,0187;-0,018;-0,0086;-0,1594;-0,0656;-0,0153;-0,1633;-0,0361;-0,0173;-0,2047;-0,1282;-0,1161;-0,203;-0,0128;1,7333;-0,0882;-0,0258;-0,0173;1,3785;-0,0611;-0,0126;-0,0155;-0,0135;-0,0171;-0,0164;-0,0589;-0,0515;-0,0139;-0,064;-0,0128
"toutes";11;-0,2956;-0,6088;0,4977;0,2408;-0,1642;0,3762;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;0,6352;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;-0,0435;-0,1945;0,5684;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;1,8647;0,5609;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;1,6633;1,0162;-0,0088
"même";34;-0,4125;-0,2111;1,6898;0,9736;0,9731;-0,7327;-0,1364;0,4103;-0,0207;-0,0875;0,4152;-0,0494;-0,3057;-0,0345;0,254;0,205;-0,0302;-0,5271;-0,0652;-0,2963;-0,0299;0,5747;-0,2187;0,206;-0,1809;-0,1681;-0,0398;-0,0383;-0,0184;-0,3389;-0,1395;-0,0325;-0,3471;-0,0767;1,0907;0,5863;-0,2725;-0,2468;0,2008;-0,0272;-0,0172;-0,1874;-0,0548;-0,0368;-0,0394;0,5877;-0,0268;-0,0329;-0,0287;-0,0364;-0,0348;-0,1252;-0,1094;-0,0295;-0,136;-0,0272
"pendant";23;-0,6181;0,2753;0,6776;-0,7759;0,2624;-0,4956;0,7181;0,5479;-0,014;-0,0592;-0,1425;-0,0334;-0,2067;-0,0233;-0,2393;0,3154;-0,0205;0,3097;-0,0441;-0,2004;-0,0202;0,7237;-0,4068;0,3166;-0,1223;-0,1137;-0,0269;1,2374;-0,0124;-0,2292;-0,0943;-0,022;-0,2348;-0,0519;-0,0249;0,8452;-0,1843;-0,1669;1,5616;-0,0184;-0,0116;0,5966;-0,0371;-0,0249;-0,0267;-0,0878;-0,0181;-0,0223;-0,0194;-0,0246;-0,0236;-0,0847;0,805;-0,0199;-0,092;-0,0184
"mois";12;-0,3224;-0,6641;-0,57;0,2174;-0,1791;0,3482;-0,0481;-0,0754;-0,0073;-0,0309;-0,0743;-0,0174;0,6578;-0,0122;-0,1248;-0,1498;-0,0107;0,6862;-0,023;-0,1045;-0,0105;-0,0474;0,4128;-0,1492;-0,0638;0,894;-0,0141;-0,0135;-0,0065;-0,1196;-0,0492;-0,0115;-0,1225;-0,0271;-0,013;-0,1535;-0,0962;1,7903;-0,1523;-0,0096;-0,0061;0,85;1,3611;-0,013;-0,0139;-0,0458;-0,0095;-0,0116;-0,0101;-0,0128;-0,0123;-0,0442;-0,0386;-0,0104;0,9804;-0,0096
"nouvelle";13;0,7415;-0,2775;-0,6175;0,1968;-0,1941;-0,2801;-0,0521;-0,0817;-0,0079;-0,0334;-0,0805;-0,0189;0,6273;-0,0132;-0,1352;0,5062;-0,0116;0,6332;-0,0249;-0,1133;-0,0114;0,9523;-0,2299;0,5076;-0,0691;-0,0642;-0,0152;-0,0146;-0,007;-0,1295;-0,0533;-0,0124;-0,1327;-0,0293;-0,0141;0,4974;-0,1042;-0,0943;-0,1649;-0,0104;-0,0066;-0,0716;-0,0209;1,4971;-0,0151;-0,0496;-0,0102;-0,0126;1,6029;-0,0139;-0,0133;-0,0479;-0,0418;-0,0113;-0,052;-0,0104
"construire";15;1,2436;-0,8302;1,2086;-0,1612;1,8889;0,7897;-0,0602;-0,0943;-0,0091;-0,0386;-0,0929;-0,0218;-0,1348;-0,0152;0,5203;-0,1872;-0,0133;-0,4771;-0,0287;-0,1307;-0,0132;-0,0593;-0,2653;-0,1865;-0,0798;-0,0741;-0,0176;-0,0169;-0,0081;-0,1495;0,8792;-0,0144;-0,1531;-0,0338;-0,0162;-0,1919;-0,1202;-0,1089;-0,1903;-0,012;-0,0076;-0,0827;-0,0242;-0,0162;-0,0174;-0,0573;-0,0118;-0,0145;-0,0127;-0,016;-0,0154;-0,0552;-0,0483;-0,013;-0,06;-0,012
"coeur";13;-0,3493;0,326;-0,6175;1,1693;-0,1941;-0,2801;0,9464;-0,0817;-0,0079;-0,0334;-0,0805;-0,0189;-0,1168;-0,0132;-0,1352;1,2938;-0,0116;0,2118;-0,0249;-0,1133;-0,0114;-0,0514;-0,2299;-0,1616;-0,0691;-0,0642;-0,0152;-0,0146;-0,007;-0,1295;-0,0533;-0,0124;1,4502;-0,0293;-0,0141;-0,1663;-0,1042;0,7094;-0,1649;-0,0104;-0,0066;-0,0716;-0,0209;-0,0141;-0,0151;-0,0496;-0,0102;-0,0126;-0,011;-0,0139;-0,0133;-0,0479;-0,0418;-0,0113;0,9476;-0,0104
"âge";13;-0,3493;-0,2775;1,4174;0,5968;0,4432;-0,2801;-0,0521;-0,0817;-0,0079;-0,0334;-0,0805;-0,0189;-0,1168;-0,0132;-0,1352;-0,1622;-0,0116;0,2118;-0,0249;-0,1133;-0,0114;-0,0514;-0,2299;0,5076;-0,0691;-0,0642;-0,0152;-0,0146;-0,007;-0,1295;-0,0533;1,5492;-0,1327;-0,0293;-0,0141;-0,1663;-0,1042;-0,0943;-0,1649;-0,0104;-0,0066;1,9474;-0,0209;-0,0141;-0,0151;-0,0496;-0,0102;-0,0126;-0,011;-0,0139;-0,0133;-0,0479;-0,0418;-0,0113;-0,052;-0,0104
"54";15;-0,4031;-0,8302;-0,7125;-0,506;-0,2239;1,4781;-0,0602;-0,0943;-0,0091;-0,0386;-0,0929;-0,0218;1,4334;-0,0152;-0,156;-0,1872;-0,0133;1,7442;-0,0287;-0,1307;-0,0132;-0,0593;0,926;-0,1865;-0,0798;-0,0741;-0,0176;-0,0169;-0,0081;1,3529;-0,0615;-0,0144;0,5271;-0,0338;-0,0162;-0,1919;-0,1202;-0,1089;0,45;-0,012;-0,0076;-0,0827;-0,0242;-0,0162;-0,0174;-0,0573;-0,0118;-0,0145;-0,0127;-0,016;-0,0154;-0,0552;-0,0483;-0,013;-0,06;-0,012
"actuel";14;0,6912;-0,7749;1,3074;1,0885;0,4179;-0,3016;-0,0561;-0,088;-0,0085;-0,036;-0,0867;-0,0203;-0,1258;-0,0142;-0,1456;-0,1747;-0,0125;-0,4452;-0,0268;-0,122;-0,0123;-0,0554;0,977;0,4812;-0,0744;-0,0692;-0,0164;-0,0158;-0,0076;-0,1395;-0,0574;-0,0134;-0,1429;-0,0316;-0,0151;-0,1791;0,6428;-0,1016;-0,1776;-0,0112;-0,0071;-0,0772;-0,0226;-0,0151;-0,0162;-0,0534;-0,011;-0,0136;-0,0118;-0,015;-0,0143;-0,0515;-0,045;-0,0121;-0,056;-0,0112
"élément";11;0,3066;-0,6088;-0,5225;1,3599;-0,1642;-0,237;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;1,4228;-0,0211;0,7033;-0,0097;-0,0435;-0,1945;-0,1368;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;0,6516;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;1,7839;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"revue";10;0,336;-0,5534;-0,475;-0,3373;-0,1493;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;1,4828;0,7283;-0,0101;0,6717;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;-0,0395;0,4756;-0,1243;-0,0532;0,9684;-0,0117;-0,0113;-0,0054;-0,0996;-0,041;-0,0096;0,679;-0,0225;-0,0108;0,5932;-0,0801;-0,0726;0,5963;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;1,7156;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"trop";11;0,8597;-0,2117;-0,5225;0,2408;0,5019;0,3762;-0,0441;-0,0691;-0,0067;-0,0283;-0,0681;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;0,2572;-0,0211;-0,0958;-0,0097;-0,0435;-0,1945;-0,1368;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;1,4164;-0,0088;-0,0056;0,8851;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;1,573;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"celui";10;-0,2687;-0,1807;0,5563;0,2676;-0,1493;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;-0,0899;-0,0101;-0,104;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;1,0604;-0,1768;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;-0,0996;1,0452;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;0,7735;0,8128;0,5963;1,7392;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"envoyer";13;0,2576;1,2201;-0,6175;0,1968;-0,1941;-0,2801;-0,0521;-0,0817;-0,0079;-0,0334;-0,0805;-0,0189;-0,1168;-0,0132;-0,1352;-0,1622;-0,0116;0,2118;-0,0249;-0,1133;-0,0114;-0,0514;-0,2299;0,5076;-0,0691;-0,0642;-0,0152;-0,0146;-0,007;0,5886;-0,0533;-0,0124;-0,1327;1,1853;-0,0141;-0,1663;-0,1042;-0,0943;0,5003;-0,0104;-0,0066;-0,0716;-0,0209;-0,0141;-0,0151;0,9666;-0,0102;-0,0126;-0,011;-0,0139;-0,0133;0,9815;-0,0418;-0,0113;-0,052;-0,0104
"5";18;-0,4837;-0,9963;0,2443;-0,2173;-0,2687;0,2287;-0,0722;-0,1132;-0,0109;-0,0463;-0,1115;-0,0262;-0,1618;-0,0182;1,1762;1,0412;-0,016;0,4362;-0,0345;0,5184;-0,0158;-0,0712;0,7959;-0,2238;-0,0957;-0,089;-0,0211;-0,0203;-0,0097;-0,1794;0,8059;-0,0172;-0,1837;-0,0406;-0,0195;0,3856;-0,1442;1,4535;-0,2284;-0,0144;-0,0091;-0,0992;-0,029;-0,0195;-0,0209;-0,0687;-0,0142;-0,0174;-0,0152;-0,0193;-0,0184;0,8492;-0,0579;-0,0156;-0,072;-0,0144
"sud";10;-0,2687;-0,5534;-0,475;-0,3373;1,3679;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;-0,0899;-0,0101;-0,104;1,5084;-0,0089;-0,318;-0,0192;1,7974;-0,0088;-0,0395;1,2376;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;-0,0996;-0,041;-0,0096;0,679;-0,0225;-0,0108;-0,1279;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;0,9238;-0,0161;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"blanc";16;-0,4299;-0,3838;-0,76;-0,5397;0,3736;0,7452;-0,0642;-0,1006;-0,0097;-0,0411;-0,0991;-0,0233;1,3812;1,436;-0,1664;-0,1997;1,4917;-0,5089;-0,0307;-0,1394;-0,014;-0,0633;0,3199;-0,1989;-0,0851;-0,0791;-0,0187;-0,018;-0,0086;-0,1594;-0,0656;-0,0153;-0,1633;1,0984;-0,0173;-0,2047;0,5924;-0,1161;0,4278;-0,0128;-0,0081;1,7712;-0,0258;-0,0173;-0,0186;0,882;-0,0126;-0,0155;-0,0135;-0,0171;-0,0164;-0,0589;-0,0515;-0,0139;0,8633;-0,0128
"arriver";16;-0,4299;-0,3838;-0,3052;0,4706;0,3736;0,7452;-0,0642;0,6846;-0,0097;-0,0411;-0,0991;-0,0233;-0,1438;-0,0162;-0,1664;0,4335;-0,0142;-0,1633;-0,0307;-0,1394;-0,014;-0,0633;-0,283;0,4347;-0,0851;0,7787;-0,0187;-0,018;-0,0086;-0,1594;-0,0656;-0,0153;0,5039;-0,0361;-0,0173;0,425;-0,1282;-0,1161;0,4278;-0,0128;-0,0081;-0,0882;-0,0258;-0,0173;1,3785;-0,0611;-0,0126;-0,0155;-0,0135;-0,0171;-0,0164;-0,0589;-0,0515;-0,0139;-0,064;-0,0128
"tourner";10;0,336;-0,5534;0,5563;-0,3373;-0,1493;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;0,7283;-0,0101;1,6539;-0,1248;-0,0089;-0,318;-0,0192;-0,0871;-0,0088;-0,0395;-0,1768;0,6039;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;-0,0996;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;1,4889;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;-0,0551;-0,0161;-0,0108;-0,0116;1,075;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;-0,0368;-0,0322;-0,0087;-0,04;-0,008
"permettre";20;-0,1801;-0,2478;-0,95;1,2404;0,3035;1,8473;-0,0802;0,5997;-0,0122;0,952;-0,1239;-0,0291;-0,1798;-0,0203;-0,2081;0,3593;-0,0178;-0,2347;-0,0383;-0,1743;-0,0176;-0,0791;-0,3537;0,9657;-0,1064;-0,0989;-0,0234;-0,0225;-0,0108;-0,1993;-0,082;-0,0191;-0,2041;-0,0451;-0,0216;0,3514;0,5106;-0,1452;-0,2538;-0,016;-0,0101;-0,1102;-0,0322;-0,0216;-0,0232;-0,0764;-0,0158;-0,0194;-0,0169;-0,0214;-0,0205;-0,0736;-0,0643;-0,0173;-0,08;-0,016
"partie";20;-0,5374;-0,2478;0,464;0,35;-0,2986;-0,4309;-0,0802;-0,1257;-0,0122;-0,0514;-0,1239;-0,0291;-0,1798;-0,0203;0,4195;0,963;-0,0178;0,3794;-0,0383;0,4808;-0,0176;-0,0791;-0,3537;0,3605;-0,1064;-0,0989;-0,0234;-0,0225;-0,0108;0,4341;-0,082;-0,0191;1,9748;-0,0451;-0,0216;-0,2559;-0,1603;0,5465;-0,2538;-0,016;-0,0101;-0,1102;-0,0322;-0,0216;-0,0232;-0,0764;-0,0158;-0,0194;-0,0169;-0,0214;-0,0205;-0,0736;0,8611;-0,0173;-0,08;-0,016
"certaines";17;-0,4568;-0,9409;1,5952;0,4362;0,9545;1,3346;-0,0682;1,6144;-0,0103;-0,0437;-0,1053;-0,0247;-0,1528;-0,0172;-0,1768;-0,2122;-0,0151;-0,5407;-0,0326;-0,1481;-0,0149;0,8435;-0,3006;-0,2114;-0,0904;0,7547;-0,0199;-0,0191;-0,0092;-0,1694;-0,0697;-0,0163;-0,1735;-0,0383;-0,0184;-0,2175;-0,1362;-0,1234;0,4073;-0,0136;-0,0086;-0,0937;-0,0274;-0,0184;-0,0197;-0,0649;-0,0134;-0,0165;-0,0144;-0,0182;-0,0174;-0,0626;-0,0547;-0,0147;-0,068;-0,0136
"préparer";10;-0,2687;-0,5534;0,5563;0,2676;0,5363;-0,2154;-0,0401;-0,0629;-0,0061;-0,0257;-0,0619;-0,0145;0,7283;-0,0101;-0,104;0,6025;-0,0089;0,2847;-0,0192;0,7405;-0,0088;-0,0395;-0,1768;-0,1243;-0,0532;-0,0494;-0,0117;-0,0113;-0,0054;-0,0996;-0,041;-0,0096;-0,1021;-0,0225;-0,0108;-0,1279;-0,0801;-0,0726;-0,1269;-0,008;-0,0051;-0,0551;1,4387;-0,0108;-0,0116;-0,0382;-0,0079;-0,0097;-0,0084;-0,0107;-0,0102;1,09;-0,0322;-0,0087;-0,04;-0,008
